term_str,n,p,i,h,df,idf
',86,0.0021426080023917485,8.86641635659603,0.018997254638179747,14,1.2370391973008494
'd,9,0.00022422641885495043,12.122756109855816,0.00271824218916494,5,2.722466024471091
'll,89,0.0022173501420100655,8.81694768033173,0.01955026019107888,22,0.5849625007211562
'm,12,0.00029896855847326724,11.707718610576972,0.0035002397560148406,5,2.722466024471091
're,57,0.0014201006527480194,9.459791097133387,0.013433855511899025,20,0.722466024471091
's,162,0.004036075539389107,7.952831108413503,0.0320982271055605,27,0.289506617194985
've,55,0.0013702725596691414,9.511321397773468,0.013033102717562925,16,1.0443941193584534
a,378,0.009417509591907918,6.730438687077055,0.0633839708932963,33,0.0
abandoned,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
abandonment,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
abducted,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
abducting,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
abduction,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
abductions,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
able,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
abound,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
about,43,0.0010713040011958743,9.86641635659603,0.010569931320285747,23,0.5208321633014404
above,15,0.000373710698091584,11.385790515689608,0.0042549917219429,11,1.584962500721156
abstinence,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
abused,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
abyss,3,7.474213961831681e-05,13.707718610576972,0.0010245442182403438,3,3.4594316186372973
accept,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
accepted,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
accompany,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
accomplished,5,0.00012457023269719466,12.970753016410766,0.0016157697215121287,5,2.722466024471091
accord,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
accordance,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
according,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
account,12,0.00029896855847326724,11.707718610576972,0.0035002397560148406,6,2.4594316186372973
accounted,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
accounting,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
accurate,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
ache,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
achieved,4,9.965618615775574e-05,13.292681111298128,0.0013246979033632097,4,3.0443941193584534
acquainted,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
acrobatic,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
across,8,0.00019931237231551147,12.292681111298128,0.002450083434410908,6,2.4594316186372973
act,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
acted,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
action,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,2,4.044394119358453
actual,2,4.982809307887787e-05,14.292681111298128,0.0007121770447604827,1,5.044394119358453
actually,10,0.00024914046539438933,11.970753016410766,0.0029823989776298684,10,1.722466024471091
acul,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
added,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
adding,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
admiration,1,2.4914046539438934e-05,15.292681111298128,0.00038100256891968027,1,5.044394119358453
