term_str,n,p,i,h,df,idf
a,53,0.002044358727097396,8.93413591402475,0.01826457872491077,34,0.819427754358179
ab,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
abah,24,0.0009257473481195757,10.077093867866795,0.009328842924929723,17,1.8194277543581792
abanel,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
abanoh,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
abi,2,7.714561234329797e-05,13.662056368587951,0.0010539677044233713,1,5.906890595608519
abix,6,0.00023143683702989392,12.077093867866795,0.002795084405292219,3,4.321928094887363
abixic,4,0.00015429122468659594,12.662056368587951,0.001953644184160147,2,4.906890595608519
abixom,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
ac,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
aca,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acaab,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acab,56,0.002160077145612343,8.854701446530346,0.019126838225870756,23,1.3833286395515056
acaba,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acabal,3,0.00011571841851494696,13.077093867866795,0.0015132606211610562,3,4.321928094887363
acah,2,7.714561234329797e-05,13.662056368587951,0.0010539677044233713,2,4.906890595608519
acahau,2,7.714561234329797e-05,13.662056368587951,0.0010539677044233713,2,4.906890595608519
acalab,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acam,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acan,4,0.00015429122468659594,12.662056368587951,0.001953644184160147,4,3.9068905956085187
acanic,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acanoc,12,0.00046287367405978784,11.077093867866795,0.00512729513652465,11,2.447458976971221
acaroc,5,0.00019286403085824494,12.340128273700588,0.002379966880173691,4,3.9068905956085187
acarroc,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acavitz,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
ach,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
achac,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
achbilai,2,7.714561234329797e-05,13.662056368587951,0.0010539677044233713,2,4.906890595608519
achbilan,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
ache,2,7.714561234329797e-05,13.662056368587951,0.0010539677044233713,1,5.906890595608519
achih,9,0.0003471552555448409,11.492131367145637,0.003989553801516325,5,3.584962500721156
achihab,2,7.714561234329797e-05,13.662056368587951,0.0010539677044233713,2,4.906890595608519
achihal,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
achihil,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
achihilal,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
achinac,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
achuch,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acuil,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
acul,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
ae,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
aeab,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
aeanal,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
ah,74,0.002854387656702025,8.452603002959,0.02412700567864864,23,1.3833286395515056
aha,6,0.00023143683702989392,12.077093867866795,0.002795084405292219,5,3.584962500721156
ahache,2,7.714561234329797e-05,13.662056368587951,0.0010539677044233713,2,4.906890595608519
ahahau,1,3.8572806171648985e-05,14.662056368587951,0.0005655566583833347,1,5.906890595608519
ahal,8,0.0003085824493731919,11.662056368587951,0.0035987059189471014,3,4.321928094887363
ahalcana,3,0.00011571841851494696,13.077093867866795,0.0015132606211610562,1,5.906890595608519
ahalmez,3,0.00011571841851494696,13.077093867866795,0.0015132606211610562,2,4.906890595608519
