entity_id,label,type,edition,mention_count,locations
AB'IX,AB'IX,,ajtzibab,7,"[""1861"", ""1865"", ""1866"", ""1901"", ""1902"", ""2176"", ""2229""]"
AB'IX,AB'IX,,christenson,7,"[""2593"", ""2602"", ""2603"", ""2650"", ""2651"", ""3027"", ""3090""]"
AB'IX,AB'IX,,christenson_ximenez,17,"[""23"", ""27""]"
AB'IX,AB'IX,,colop,7,"[""16"", ""18""]"
AB'IX,AB'IX,,ximenez,15,"[""22"", ""26""]"
ACHAQ'_IB'OY,Achaq' Ib'oy,persona,ajtzibab,1,"[""5885""]"
ACHAQ'_IB'OY,Achaq' Ib'oy,persona,christenson,1,"[""8123""]"
ACHAQ'_IB'OY,Achaq' Ib'oy,persona,christenson_english_prose,3,"[""13"", ""28"", ""76""]"
ACHAQ'_IB'OY,Achaq' Ib'oy,persona,christenson_ximenez,1,"[""83""]"
ACHAQ'_IB'OY,Achaq' Ib'oy,persona,colop,1,"[""42""]"
ACHAQ'_IB'OY,Achaq' Ib'oy,persona,ximenez,1,"[""82""]"
AJ,Aj,objeto,ajtzibab,35,"[""2634"", ""3632"", ""3634"", ""3637"", ""3639"", ""3642"", ""3649"", ""3651"", ""3653"", ""3907"", ""3930"", ""3933"", ""3934"", ""4064"", ""4345"", ""4444"", ""4525"", ""5411"", ""5445"", ""5724"", ""5803"", ""5862"", ""5863"", ""5866"", ""5867"", ""5868"", ""5869"", ""5870"", ""5871"", ""6088"", ""6187"", ""6188"", ""6241""]"
AJ,Aj,objeto,christenson,219,"[""1169"", ""149"", ""1755"", ""1767"", ""1768"", ""1769"", ""1770"", ""1771"", ""1772"", ""2335"", ""2344"", ""2392"", ""27"", ""2701"", ""2702"", ""2711"", ""2712"", ""2713"", ""2714"", ""28"", ""2999"", ""3000"", ""3003"", ""3004"", ""3017"", ""3018"", ""3561"", ""4130"", ""453"", ""454"", ""4691"", ""4692"", ""4693"", ""4694"", ""4709"", ""4710"", ""4713"", ""4716"", ""4717"", ""4728"", ""4730"", ""4733"", ""4738"", ""4749"", ""4753"", ""4755"", ""477"", ""478"", ""4954"", ""4955"", ""5010"", ""5011"", ""504"", ""505"", ""5064"", ""5065"", ""5164"", ""5165"", ""521"", ""5214"", ""522"", ""5220"", ""5221"", ""5276"", ""5277"", ""5278"", ""5279"", ""5345"", ""5346"", ""5355"", ""5356"", ""5439"", ""5491"", ""5492"", ""560"", ""561"", ""562"", ""563"", ""564"", ""565"", ""566"", ""567"", ""581"", ""5812"", ""5875"", ""5894"", ""5896"", ""5897"", ""591"", ""5936"", ""5937"", ""594"", ""595"", ""5960"", ""607"", ""608"", ""6112"", ""6113"", ""6120"", ""6124"", ""6275"", ""6276"", ""6313"", ""6314"", ""6324"", ""6325"", ""6384"", ""6385"", ""6398"", ""6399"", ""6495"", ""6496"", ""6539"", ""6540"", ""6547"", ""6548"", ""6612"", ""6613"", ""6653"", ""6654"", ""6680"", ""6769"", ""6770"", ""6951"", ""6952"", ""6958"", ""6990"", ""7000"", ""7001"", ""7075"", ""7093"", ""7111"", ""7112"", ""7129"", ""7183"", ""7241"", ""7242"", ""7368"", ""7369"", ""7419"", ""7428"", ""7429"", ""7432"", ""7433"", ""7473"", ""7571"", ""7572"", ""7799"", ""7800"", ""7801"", ""7802"", ""7815"", ""7826"", ""7881"", ""7882"", ""7937"", ""7938"", ""8043"", ""8061"", ""8066"", ""8073"", ""8090"", ""8091"", ""8099"", ""8100"", ""8101"", ""8102"", ""8103"", ""8104"", ""8111"", ""8112"", ""8114"", ""8116"", ""8138"", ""8152"", ""8153"", ""8155"", ""8162"", ""8163"", ""8164"", ""8194"", ""8195"", ""8196"", ""8198"", ""8200"", ""8232"", ""8237"", ""8238"", ""8240"", ""8259"", ""8260"", ""8267"", ""8268"", ""829"", ""830"", ""8425"", ""8426"", ""8428"", ""8445"", ""8484"", ""8485"", ""8487"", ""8529"", ""8569"", ""8570"", ""8575"", ""8576"", ""8581"", ""8583"", ""8587"", ""8589"", ""8649"", ""8684"", ""8695"", ""88"", ""89"", ""905"", ""906""]"
AJ,Aj,objeto,christenson_english_prose,25,"[""20"", ""29"", ""40"", ""47"", ""50"", ""54"", ""55"", ""56"", ""67"", ""70"", ""76"", ""77"", ""79"", ""81"", ""82"", ""85""]"
AJ,Aj,objeto,christenson_ximenez,46,"[""17"", ""2"", ""31"", ""42"", ""48"", ""51"", ""58"", ""59"", ""61"", ""62"", ""66"", ""68"", ""7"", ""73"", ""76"", ""8"", ""83"", ""89""]"
AJ,Aj,objeto,colop,31,"[""20"", ""24"", ""27"", ""28"", ""29"", ""36"", ""41"", ""42"", ""43"", ""49""]"
AJ,Aj,objeto,recinos,7,"[""0.1.2"", ""2.14.36"", ""2.3.7"", ""2.7.69"", ""2.7.72"", ""3.5.13""]"
AJ,Aj,objeto,ximenez,27,"[""1"", ""16"", ""30"", ""41"", ""47"", ""50"", ""57"", ""58"", ""6"", ""60"", ""65"", ""67"", ""7"", ""72"", ""75""]"
AJACHE',Ajache',objeto,ajtzibab,2,"[""3742"", ""6012""]"
AJACHE',Ajache',objeto,christenson,2,"[""4901"", ""8304""]"
AJACHE',Ajache',objeto,christenson_english_prose,2,"[""42"", ""78""]"
AJACHE',Ajache',objeto,christenson_ximenez,2,"[""46"", ""86""]"
AJACHE',Ajache',objeto,colop,2,"[""25"", ""43""]"
AJACHE',Ajache',objeto,recinos,2,"[""3.1.10"", ""4.11.16""]"
AJACHE',Ajache',objeto,tedlock,2,"[""4.14"", ""5.292""]"
AJACHE',Ajache',objeto,ximenez,2,"[""45"", ""85""]"
AJAL_MES,Ajal Mes,deidad,ajtzibab,3,"[""1256"", ""1263"", ""1345""]"
AJAL_MES,Ajal Mes,deidad,christenson,3,"[""1858"", ""1870"", ""1984""]"
AJAL_MES,Ajal Mes,deidad,christenson_ximenez,3,"[""17"", ""18""]"
AJAL_MES,Ajal Mes,deidad,colop,3,"[""11"", ""12""]"
AJAL_MES,Ajal Mes,deidad,recinos,3,"[""2.1.33"", ""2.1.35"", ""2.2.12""]"
AJAL_MES,Ajal Mes,deidad,ximenez,3,"[""16"", ""17""]"
AJAL_PUJ,Ajal Puj,deidad,ajtzibab,6,"[""1240"", ""1246"", ""1342"", ""2711"", ""2718"", ""2778""]"
AJAL_PUJ,Ajal Puj,deidad,christenson,6,"[""1836"", ""1844"", ""1978"", ""3653"", ""3660"", ""3727""]"
AJAL_PUJ,Ajal Puj,deidad,christenson_ximenez,7,"[""17"", ""18"", ""31""]"
AJAL_PUJ,Ajal Puj,deidad,colop,6,"[""11"", ""12"", ""21""]"
AJAL_PUJ,Ajal Puj,deidad,recinos,6,"[""2.1.27"", ""2.1.29"", ""2.2.12"", ""2.8.23"", ""2.8.25"", ""2.8.48""]"
AJAL_PUJ,Ajal Puj,deidad,ximenez,7,"[""16"", ""17"", ""30""]"
AJAL_Q'ANA,Ajal Q'ana,deidad,ajtzibab,6,"[""1240"", ""1246"", ""1342"", ""2717"", ""2724"", ""2779""]"
AJAL_Q'ANA,Ajal Q'ana,deidad,christenson,6,"[""1837"", ""1845"", ""1979"", ""3659"", ""3666"", ""3728""]"
AJAL_Q'ANA,Ajal Q'ana,deidad,christenson_ximenez,5,"[""18"", ""31""]"
AJAL_Q'ANA,Ajal Q'ana,deidad,colop,6,"[""11"", ""12"", ""21""]"
AJAL_Q'ANA,Ajal Q'ana,deidad,ximenez,7,"[""16"", ""17"", ""30""]"
AJAL_TOQ'OB,Ajal Toq'ob,deidad,ajtzibab,3,"[""1256"", ""1263"", ""1345""]"
AJAL_TOQ'OB,Ajal Toq'ob,deidad,christenson,3,"[""1859"", ""1871"", ""1985""]"
AJAL_TOQ'OB,Ajal Toq'ob,deidad,christenson_ximenez,3,"[""17"", ""18""]"
AJAL_TOQ'OB,Ajal Toq'ob,deidad,colop,3,"[""11"", ""12""]"
