entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
TINAMIT_K'ICHE',christenson,7,"Tinamit K'iche',",2,exact,Tinamit K'iche',topónimo
TZ'AQOL,christenson,15,"Tz'aqol,",1,exact,Tz'aqol,deidad
B'ITOL,christenson,16,B'itol;,1,exact,B'itol,deidad
ALOM,christenson,17,"Alom,",1,exact,Alom,deidad
K'AJOLOM,christenson,18,"K'ajolom,",1,exact,K'ajolom,deidad
JUNAJPU_WUCH,christenson,19,"Junajpu Wuch',",2,exact,Junajpu Wuch',deidad
JUNAJPU_UTIW,christenson,20,"Junajpu Utiw,",2,exact,Junajpu Utiw,deidad
NIM_AQ,christenson,21,"Nim Aq,",2,exact,Nim Aq,deidad
SIS,christenson,22,"Sis,",1,exact,Sis,animal
TEPEW,christenson,23,"Tepew,",1,exact,Tepew,oficio
Q'UKUMATZ,christenson,24,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
CH'O,christenson,25,"Cho,",1,exact,Ch'o,animal
PALO,christenson,26,"Palo,",1,exact,Palo,lugar
AJ,christenson,27,Aj,1,exact,Aj,objeto
LAQ,christenson,27,"Laq,",1,exact,Laq,objeto
AJ,christenson,28,Aj,1,exact,Aj,objeto
IXMUKANE,christenson,31,"I'yom,",1,fuzzy,Ixmukane,deidad
XPIYAKOK,christenson,32,"Mamom,",1,exact,Xpiyakok,deidad
XPIYAKOK,christenson,33,"Xpiyakok,",1,exact,Xpiyakok,deidad
IXMUKANE,christenson,35,"Matzanel,",1,exact,Ixmukane,deidad
IXMUKANE,christenson,37,"I'yom,",1,fuzzy,Ixmukane,deidad
XPIYAKOK,christenson,38,"Mamom,",1,exact,Xpiyakok,deidad
DIOS,christenson,46,"Dios,",1,exact,Dios,deidad
PALO,christenson,52,"palo,",1,exact,Palo,lugar
KAJ,christenson,63,"kaj,",1,exact,Kaj,objeto
KAJ,christenson,65,kaj,1,exact,Kaj,objeto
KAJ,christenson,66,kaj,1,exact,Kaj,objeto
KAJ,christenson,68,kaj,1,exact,Kaj,objeto
KAJ,christenson,71,"kaj,",1,exact,Kaj,objeto
KAJ,christenson,73,Kaj,1,exact,Kaj,objeto
KAJ,christenson,74,Kaj,1,exact,Kaj,objeto
TZ'AQOL,christenson,75,"Tz'aqol,",1,exact,Tz'aqol,deidad
B'ITOL,christenson,76,"B'itol,",1,exact,B'itol,deidad
ALOM,christenson,77,"chuch,",1,exact,Alom,deidad
AJ,christenson,88,Aj,1,exact,Aj,objeto
AJ,christenson,89,Aj,1,exact,Aj,objeto
KAJ,christenson,92,"Kaj,",1,exact,Kaj,objeto
CH'O,christenson,94,"Cho,",1,exact,Ch'o,animal
PALO,christenson,95,Palo.,1,exact,Palo,lugar
KA',christenson,98,K'a,1,fuzzy,Ka',objeto
KA',christenson,99,K'a,1,fuzzy,Ka',objeto
KA',christenson,101,K'a,1,fuzzy,Ka',objeto
KA',christenson,102,K'a,1,fuzzy,Ka',objeto
KAJ,christenson,103,kaj.,1,exact,Kaj,objeto
JUN_WINAQ,christenson,106,"jun winaq,",2,exact,jun winaq,persona
TZ'IKIN,christenson,108,"Tz'ikin,",1,exact,Tz'ikin,animal
KAR,christenson,109,"Kar,",1,exact,Kar,animal
TAP,christenson,110,"Tap,",1,exact,Tap,animal
CHE',christenson,111,"Che',",1,exact,Che',objeto
K'IM,christenson,115,"K'im,",1,exact,K'im,objeto
KAJ,christenson,117,kaj,1,exact,Kaj,objeto
PALO,christenson,119,"palo,",1,exact,Palo,lugar
KAJ,christenson,120,kaj,1,exact,Kaj,objeto
KAJ,christenson,126,kaj.,1,exact,Kaj,objeto
PALO,christenson,129,"palo,",1,exact,Palo,lugar
TZ'AQOL,christenson,136,"Tz'aqol,",1,exact,Tz'aqol,deidad
B'ITOL,christenson,137,"B'itol,",1,exact,B'itol,deidad
TEPEW,christenson,138,"Tepew,",1,exact,Tepew,oficio
Q'UKUMATZ,christenson,139,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
ALOM,christenson,140,"Alom,",1,exact,Alom,deidad
K'AJOLOM,christenson,141,"K'ajolom,",1,exact,K'ajolom,deidad
Q'UKUMATZ,christenson,147,Q'ukumatz.,1,exact,Q'ukumatz,deidad
AJ,christenson,149,aj,1,exact,Aj,objeto
KAJ,christenson,150,"kaj,",1,exact,Kaj,objeto
KAJ,christenson,151,Kaj.,1,exact,Kaj,objeto
TEPEW,christenson,156,"Tepew,",1,exact,Tepew,oficio
Q'UKUMATZ,christenson,157,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
TEPEW,christenson,161,"Tepew,",1,exact,Tepew,oficio
Q'UKUMATZ,christenson,162,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
CHE',christenson,176,"Che',",1,exact,Che',objeto
KAJ,christenson,182,"Kaj,",1,exact,Kaj,objeto
CH'IPI_KAQULJA,christenson,185,"Ch'i'pi Kaqulja,",2,fuzzy,Ch'ipi Kaqulja,deidad
KAB',christenson,185,kab',1,exact,Kab',objeto
RAXA_KAQULJA,christenson,186,Raxa Kaqulja.,2,exact,Raxa Kaqulja,deidad
KAJ,christenson,188,Kaj.,1,exact,Kaj,objeto
TEPEW,christenson,190,"Tepew,",1,exact,Tepew,oficio
Q'UKUMATZ,christenson,191,"Q'ukumatz,",1,exact,Q'ukumatz,deidad
Q'OL,christenson,198,Q'o'l?,1,fuzzy,Q'ol,objeto
WA,christenson,204,Wa',1,fuzzy,Wa,objeto
KAJ,christenson,210,"Kaj,",1,exact,Kaj,objeto
Q'UKUMATZ,christenson,244,Q'ukumatz:,1,exact,Q'ukumatz,deidad
KAJ,christenson,246,Kaj:,1,exact,Kaj,objeto
CH'IPI_KAQULJA,christenson,248,"Ch'i'pi Kaqulja,",2,fuzzy,Ch'ipi Kaqulja,deidad
RAXA_KAQULJA,christenson,249,Raxa Kaqulja.,2,exact,Raxa Kaqulja,deidad
KAJ,christenson,262,"Kaj,",1,exact,Kaj,objeto
KAJ,christenson,267,"kaj,",1,exact,Kaj,objeto
TZ'IKIN,christenson,279,"Tz'ikin,",1,exact,Tz'ikin,animal
KOJ,christenson,280,"Koj,",1,exact,Koj,animal
B'ALAM,christenson,281,"B'alam,",1,exact,B'alam,animal
KUMATZ,christenson,282,"Kumatz,",1,exact,Kumatz,animal
SOCHOJ,christenson,283,"Sochoj,",1,exact,Sochoj,animal
ALOM,christenson,286,"Alom,",1,exact,Alom,deidad
K'AJOLOM,christenson,287,K'ajolom:,1,exact,K'ajolom,deidad
CHE',christenson,290,"che',",1,exact,Che',objeto
TZ'IKIN,christenson,298,Tz'ikin.,1,exact,Tz'ikin,animal
TZ'IKIN,christenson,301,Tz'ikin.,1,exact,Tz'ikin,animal
