entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
SAQI_NIM_AQ_SIS,christenson_english_prose,1,Great White Peccary,3,exact,Saqi Nim Aq Sis,deidad
UK'U'X_CHO,christenson_english_prose,1,Heart of Lake,3,exact,Uk'u'x Cho,deidad
UK'U'X_PALO,christenson_english_prose,1,"Heart of Sea,",3,exact,Uk'u'x Palo,deidad
JUNAJPU_WUCH,christenson_english_prose,1,Hunahpu Possum,2,exact,Junajpu Wuch',deidad
JUNAJPU_UTIW,christenson_english_prose,1,"Hunahpu Coyote,",2,exact,Junajpu Utiw,deidad
TEPEW_Q'UKUMATZ,christenson_english_prose,1,"Quetzal Serpent,",2,exact,Tepew Q'ukumatz,deidad
POPOL_WUJ,christenson_english_prose,1,Popol Vuh,2,exact,Popol Wuj,objeto
POPOL_WUJ,christenson_english_prose,1,original book,2,exact,Popol Wuj,objeto
Q'UMARKAJ,christenson_english_prose,1,ANCIENT,1,exact,Q'umarkaj,topónimo
OXIB_RI_NIM_JA,christenson_english_prose,1,Quiche,1,exact,Oxib' ri nim ja,linaje
Q'UMARKAJ,christenson_english_prose,1,ancient,1,exact,Q'umarkaj,topónimo
OXIB_RI_NIM_JA,christenson_english_prose,1,"Quiche,",1,exact,Oxib' ri nim ja,linaje
OXIB_RI_NIM_JA,christenson_english_prose,1,Quiche,1,exact,Oxib' ri nim ja,linaje
TZ'AQOL,christenson_english_prose,1,Framer,1,exact,Tz'aqol,deidad
B'ITOL,christenson_english_prose,1,"Shaper,",1,exact,B'itol,deidad
SIS,christenson_english_prose,1,"Coati,",1,exact,Sis,animal
IXMUKANE,christenson_english_prose,1,Midwife,1,exact,Ixmukane,deidad
XPIYAKOK,christenson_english_prose,1,Xpiyacoc,1,exact,Xpiyakok,deidad
IXMUKANE,christenson_english_prose,1,"Xmucane,",1,exact,Ixmukane,deidad
IXMUKANE,christenson_english_prose,1,Midwife,1,exact,Ixmukane,deidad
OXIB_RI_NIM_JA,christenson_english_prose,1,Quiche,1,exact,Oxib' ri nim ja,linaje
DIOS,christenson_english_prose,1,God,1,exact,Dios,deidad
TZ'AQOL,christenson_english_prose,1,Framer,1,exact,Tz'aqol,deidad
B'ITOL,christenson_english_prose,1,"Shaper,",1,exact,B'itol,deidad
PALO,christenson_english_prose,1,sea.,1,exact,Palo,lugar
UK'U'X_KAJ,christenson_english_prose,2,"Heart of Sky,",3,exact,Uk'u'x Kaj,deidad
TEPEW_Q'UKUMATZ,christenson_english_prose,2,"Quetzal Serpent,",2,exact,Tepew Q'ukumatz,deidad
TEPEW_Q'UKUMATZ,christenson_english_prose,2,Quetzal Serpent.,2,exact,Tepew Q'ukumatz,deidad
JAQAWITZ_JUYUB,christenson_english_prose,2,first,1,exact,Jaqawitz Juyub',topónimo
JAQAWITZ_JUYUB,christenson_english_prose,2,first,1,exact,Jaqawitz Juyub',topónimo
UCH'AB'AJA,christenson_english_prose,2,speech.,1,exact,Uch'ab'aja,linaje
TZ'IKIN,christenson_english_prose,2,"bird,",1,exact,Tz'ikin,animal
KAR,christenson_english_prose,2,"fish,",1,exact,Kar,animal
TAP,christenson_english_prose,2,"crab,",1,exact,Tap,animal
CHE',christenson_english_prose,2,"tree,",1,exact,Che',objeto
PALO,christenson_english_prose,2,"sea,",1,exact,Palo,lugar
PALO,christenson_english_prose,2,sea,1,exact,Palo,lugar
TZ'AQOL,christenson_english_prose,2,Framer,1,exact,Tz'aqol,deidad
B'ITOL,christenson_english_prose,2,"Shaper,",1,exact,B'itol,deidad
DIOS,christenson_english_prose,2,god,1,exact,Dios,deidad
K'OOL,christenson_english_prose,3,may it be sown;,4,exact,K'ool,lugar
UK'U'X_KAJ,christenson_english_prose,3,Heart of Sky,3,exact,Uk'u'x Kaj,deidad
UK'U'X_KAJ,christenson_english_prose,3,"Heart of Sky,",3,exact,Uk'u'x Kaj,deidad
UK'U'X_KAJ,christenson_english_prose,3,Heart of Sky,3,exact,Uk'u'x Kaj,deidad
UK'U'X_KAJ,christenson_english_prose,3,Heart of Sky,3,exact,Uk'u'x Kaj,deidad
UK'U'X_ULEW,christenson_english_prose,3,"Heart of Earth,",3,exact,Uk'u'x Ulew,deidad
TEPEW_Q'UKUMATZ,christenson_english_prose,3,Quetzal Serpent,2,exact,Tepew Q'ukumatz,deidad
TEPEW_Q'UKUMATZ,christenson_english_prose,3,Quetzal Serpent.,2,exact,Tepew Q'ukumatz,deidad
KAQULJA_JUN_RAQAN,christenson_english_prose,3,"Thunderbolt Huracan,",2,exact,Kaqulja Jun Raqan,deidad
CH'IPI_KAQULJA,christenson_english_prose,3,"Youngest Thunderbolt,",2,exact,Ch'ipi Kaqulja,deidad
RAXA_KAQULJA,christenson_english_prose,3,Sudden Thunderbolt,2,exact,Raxa Kaqulja,deidad
TEPEW_Q'UKUMATZ,christenson_english_prose,3,Quetzal Serpent.,2,exact,Tepew Q'ukumatz,deidad
TEPEW_Q'UKUMATZ,christenson_english_prose,3,Quetzal Serpent,2,exact,Tepew Q'ukumatz,deidad
CH'IPI_KAQULJA,christenson_english_prose,3,Youngest Thunderbolt,2,exact,Ch'ipi Kaqulja,deidad
RAXA_KAQULJA,christenson_english_prose,3,Sudden Thunderbolt.,2,exact,Raxa Kaqulja,deidad
JUN_RAQAN,christenson_english_prose,3,Huracan,1,exact,Jun Raqan,deidad
JAQAWITZ_JUYUB,christenson_english_prose,3,First,1,exact,Jaqawitz Juyub',topónimo
MAQ'A,christenson_english_prose,3,dawn,1,exact,Maq'a,topónimo
MAQ'A,christenson_english_prose,3,dawn,1,exact,Maq'a,topónimo
JUN_RAQAN,christenson_english_prose,3,"Huracan,",1,exact,Jun Raqan,deidad
JAQAWITZ_JUYUB,christenson_english_prose,3,First,1,exact,Jaqawitz Juyub',topónimo
JAQAWITZ_JUYUB,christenson_english_prose,3,first,1,exact,Jaqawitz Juyub',topónimo
K'ANTI',christenson_english_prose,4,pit viper,2,exact,K'anti',animal
KEJ,christenson_english_prose,4,deer,1,exact,Kej,animal
KOJ,christenson_english_prose,4,puma,1,exact,Koj,animal
B'ALAM,christenson_english_prose,4,"jaguar,",1,exact,B'alam,animal
KUMATZ,christenson_english_prose,4,serpent,1,exact,Kumatz,animal
SOCHOJ,christenson_english_prose,4,"rattlesnake,",1,exact,Sochoj,animal
KEJ,christenson_english_prose,4,deer,1,exact,Kej,animal
KEJ,christenson_english_prose,4,deer,1,exact,Kej,animal
KEJ,christenson_english_prose,4,"deer,",1,exact,Kej,animal
KEJ,christenson_english_prose,4,deer,1,exact,Kej,animal
KEJ,christenson_english_prose,4,deer,1,exact,Kej,animal
UK'U'X_KAJ,christenson_english_prose,5,Heart of Sky,3,exact,Uk'u'x Kaj,deidad
UK'U'X_ULEW,christenson_english_prose,5,"Heart of Earth,",3,exact,Uk'u'x Ulew,deidad
CH'IPI_KAQULJA,christenson_english_prose,5,"Youngest Thunderbolt,",2,exact,Ch'ipi Kaqulja,deidad
RAXA_KAQULJA,christenson_english_prose,5,"Sudden Thunderbolt,",2,exact,Raxa Kaqulja,deidad
KEJ,christenson_english_prose,5,deer,1,exact,Kej,animal
TZ'AQOL,christenson_english_prose,5,Framer,1,exact,Tz'aqol,deidad
B'ITOL,christenson_english_prose,5,"Shaper,",1,exact,B'itol,deidad
KEJ,christenson_english_prose,5,"deer,",1,exact,Kej,animal
US,christenson_english_prose,5,"us,",1,exact,Us,animal
JUN_RAQAN,christenson_english_prose,5,"Huracan,",1,exact,Jun Raqan,deidad
TZ'AQOL,christenson_english_prose,5,Framer,1,exact,Tz'aqol,deidad
B'ITOL,christenson_english_prose,5,"Shaper,",1,exact,B'itol,deidad
US,christenson_english_prose,5,us!,1,exact,Us,animal
US,christenson_english_prose,5,us!,1,exact,Us,animal
UCH'AB'AJA,christenson_english_prose,5,speech,1,exact,Uch'ab'aja,linaje
TZ'AQOL,christenson_english_prose,5,Framer,1,exact,Tz'aqol,deidad
B'ITOL,christenson_english_prose,5,Shaper,1,exact,B'itol,deidad
UCH'AB'AJA,christenson_english_prose,5,speech,1,exact,Uch'ab'aja,linaje
TZ'AQOL,christenson_english_prose,5,Framer,1,exact,Tz'aqol,deidad
B'ITOL,christenson_english_prose,5,Shaper.,1,exact,B'itol,deidad
WA,christenson_english_prose,5,food,1,exact,Wa,objeto
US,christenson_english_prose,5,us,1,exact,Us,animal
US,christenson_english_prose,5,"us,",1,exact,Us,animal
