w0,w1,n
,,615
,</s>,2124
,a,53
,abandonando,1
,aborrecian,1
,abuela,18
,abuelita,1
,abuelo,1
,abuelos,1
,abundante,1
,acaso,8
,aceptad,1
,acompanadnos,1
,acoplaos,1
,acostumbraban,1
,aculvinac,1
,ademas,2
,adonde,1
,adoradnos,1
,agarraban,1
,agregaron,1
,agrego,3
,aguardemos,1
,ah,4
,ahal,1
,ahalcana,2
,ahalgana,1
,ahalmez,1
,ahalpuh,2
,ahaltoco,1
,ahau,1
,ahauahpop,1
,ahaugale,1
,ahaulolmet,1
,ahaunimchocohahau,1
,ahora,6
,ahpop,2
,ahtzicvinac,1
,ahtzicvinacahau,1
,al,27
,alabadnos,1
,alargaban,1
,alcanzaron,2
,alegraronse,1
,alegres,1
,alguaciles,1
,algunas,1
,alimentos,1
,alla,8
,alli,14
,alom,2
,amantes,1
,ambos,1
,amparadores,1
,anda,3
,andamos,1
,andrajosos,1
,anduvieron,1
,anonas,1
,ante,1
,antes,1
,apastes,1
,apretadme,1
,aquel,2
,aquellos,4
,aqui,11
,arboles,1
,arenas,1
,armadillo,1
,arreglados,1
,asi,46
,atadlos,1
,atizad,1
,aun,1
,aunque,4
,avilix,22
,avuix,1
,ay,18
,ayunando,1
,ayuntaos,1
,baiamquitze,1
,bailad,1
,bailarines,1
,bailaron,1
,baja,1
,bajo,2
,balam,3
,balamacab,40
,balamiha,2
,balamquitze,5
,barrancas,1
,bejucos,1
,bien,4
,bitol,2
,bostezaba,1
,boveda,1
,buena,1
,bueno,5
,buenocontesto,1
,buenos,1
,buscaron,1
,busquemos,1
,cabezas,1
,cabracan,1
,cacareaban,1
,cada,4
,cahapaluna,1
,cahucutah,1
,calabacillas,1
,calentad,1
,calladas,1
,callado,1
,caminaban,1
,caminos,1
,cana,1
,canas,1
,cangrejos,1
,cantiles,1
,cantores,2
,caquix,1
,caquixtucur,1
,castigala,1
,cavec,1
,cavizimah,1
,cayo,1
,cazam,1
,chabicacchihunahpu,1
,chabitucur,1
,chamiabac,4
,chamiaholom,3
,chayinha,1
,chichac,1
,chipicaculha,6
,chipinanauac,1
,chiquix,1
,chitemah,1
,chomiha,1
,chupar,1
,chuvatzac,1
,ciempies,1
,ciertamente,3
,cohah,1
,comadreja,1
,comelo,1
,comenzara,1
,comenzo,2
,como,38
,con,8
,concedeles,1
,conchas,1
,congregados,1
,construyeron,1
,consultando,1
,contadnos,1
,contemplaban,1
,contemplad,1
,contestando,1
,contestareis,2
,contestaron,28
,contestaronlos,1
,contesto,19
,continuad,1
,conversaron,1
,corazon,7
,cortados,1
,criatura,2
,cual,1
,cuando,56
,cuarta,1
,cuatro,2
,cuchumaquic,3
,cuentas,1
,cuevas,1
,culbd,1
,culebras,1
,cumatz,1
,cumplase,1
,cumplid,1
,curamos,1
,cuya,5
,cuyas,1
,cuyo,4
,cuyos,4
,daba,2
,dad,1
,dador,1
,dales,1
,dando,4
,dandole,1
,dandoles,1
,danos,2
,daremos,1
,de,92
,decia,7
,decian,16
,decid,2
,decidles,2
,decima,2
,decimocuarta,1
,declarad,1
,dejando,1
,del,11
,delante,1
,demonios,1
,dentro,4
,desatad,1
,desde,4
,deseando,2
,desgraciada,1
,desgraciado,1
,desgraciados,3
,desnudaos,1
,despacharon,2
,despedazad,1
,despedazadnos,1
,despues,5
,destruida,1
,destruidos,1
,detulan,1
,dice,3
,dicen,4
,dicenlos,1
,dicho,1
,diciendo,2
,diciendoles,1
,dieron,2
,diferentes,1
,digamosles,1
,dije,1
,dijeran,1
,dijeron,105
,dijo,36
,dijole,1
,dio,1
,diras,1
,direis,5
,diremos,1
,dirigiendo,1
,dirigiendose,2
,disponed,1
,dolor,1
,dominareis,1
,donde,23
,dormiras,1
,dos,5
,durante,4
,e,7
,ea,1
,echad,1
,echandose,1
,ejecutaron,1
,el,150
,ellos,2
,empunaron,1
,en,60
,encendido,1
,encendieron,1
,encima,1
,engendraron,1
,ensenadme,1
,entonando,1
,entonces,6
,entrad,1
,entrando,1
,entraron,1
,entre,3
,entregaos,1
,enviaron,1
,envidiosos,1
,envoltorio,1
,era,6
,eramos,2
,eran,5
,eres,2
,es,9
,esa,2
,escondidos,1
,escrito,1
,escuchanos,1
,escultores,1
,ese,1
,eso,2
,esos,1
,especie,1
,esperando,1
,esperemos,1
,espiada,1
,esta,50
,estaba,4
,estaban,9
,estableceos,1
,estamos,2
,estan,2
,estandartes,1
,estando,1
,estara,1
,estariamos,1
,estas,2
,este,11
,estirando,1
,esto,8
,estos,11
,estuvieron,2
,exaltando,1
,exclamaban,1
,exclamaron,5
,exclamo,7
,extendieron,1
,familias,2
,formaronse,1
,fortines,1
,fue,7
,fueron,7
,gag,1
,gagchecjueleb,1
,galelahau,1
,galezaquic,1
,garras,2
,gimiendo,1
,gorjead,1
,gracias,1
,grande,4
,grandes,2
,granizo,1
,gritaban,1
,gritad,1
,gritando,1
,gritaron,1
,grito,1
,grunian,1
,guardian,1
,guardianes,1
,gucumatz,5
,ha,5
,habeis,1
,habia,1
,habian,3
,habiendo,4
,habiendose,1
,habitareis,1
,habla,3
,hablaban,2
,hablad,4
,hablamos,1
,hablando,2
,hablaran,1
,hablaron,2
,hablo,1
,hacavitz,1
,haced,5
,hacerles,1
,hacia,2
,haciendo,4
,haciendoles,2
,hagamos,1
,hagase,1
,han,7
,haremos,1
,has,1
,hasta,3
,hay,3
,haz,1
,he,4
,hechas,1
,hechos,2
,hemos,4
,herbosos,1
,hermanos,1
,hermosura,1
,hicieron,2
,hierbas,1
,hija,3
,hijas,2
,hijo,1
,hijos,2
,hiqui,1
,hizo,2
,holi,1
,hombres,3
,hormigas,1
,hubo,1
,humetaha,1
,hunahpu,5
,hunahpuutiu,3
,hunahpuvuch,2
,hunbatz,3
,huncame,3
,hunhunahpu,3
,huqui,1
,huracan,5
,huracantucur,2
,i,2
,iban,1
,id,12
,idos,1
,igual,1
,igualmente,1
,ii,1
,ilocab,1
,imitando,1
,incitando,1
,investidos,1
,invocad,1
,invocadnos,1
,io,1
,ios,2
,iremos,2
,ixbalanque,1
,ixcacau,1
,ixcanil,1
,ixmucane,4
,ixpiyacoc,3
,ixpurpuvec,1
,ixtah,1
,jay,1
,jefe,1
,jocotes,1
,joven,1
,joyeros,1
,juntaos,1
,juntaron,1
,junto,4
,juntos,1
,kaxacaculha,1
,l,1
,la,80
,lanzando,2
,las,23
,le,63
,lechuga,1
,leones,2
,les,73
,levantando,1
,levantaos,2
,levantate,1
,levantemonos,1
,li,1
,libro,1
,llamabanse,1
,llamad,1
,llamadlos,1
,llamado,1
,llamandose,1
,llega,1
,llegaron,8
,llego,4
,lleguemos,1
,llena,1
,llenos,1
,llevaba,1
,llevad,1
,llevadla,1
,llevadnos,1
,llevando,5
,llevo,2
,lloraron,1
,lluvia,1
,lo,20
,los,124
,luego,12
,lxtoh,1
,macamob,1
,madre,2
,magnifico,1
,mahucutah,34
,mahucutahelquibalam,1
,maiz,1
,manana,1
,manifiesto,1
,marchando,1
,matad,1
,matasanos,1
,me,3
,mensajeros,2
,metido,1
,mi,3
,mia,1
,mientras,10
,mira,1
,mirad,3
,miranos,1
,mis,2
,misericordia,1
,moriremos,1
,mucha,1
,muchacho,7
,muchachos,11
,muchos,2
,muertos,2
,murallas,1
,muy,24
,nada,2
,nances,1
,negros,1
,ni,42
,nicah,1
,nietos,1
,nima,1
,nimac,1
,nina,1
,no,112
,nombraron,1
,nombre,4
,nombres,3
,nos,14
,nosotros,15
,novena,1
,nuestra,4
,nuestras,6
,nuestro,5
,nuestros,8
,nueve,3
,o,9
,obedientes,1
,obraban,1
,observa,1
,observaban,1
,octava,1
,oh,24
,oid,2
,oimos,1
,oloman,1
,once,1
,oprimirles,1
,origen,1
,os,9
,oscurece,1
,otro,2
,otros,3
,pa,1
,padres,1
,pajaros,2
,palios,1
,pamaca,1
,para,14
,parecia,1
,pasaron,1
,paso,1
,patan,2
,pavilix,1
,pecadora,1
,peces,1
,pecul,1
,pegale,1
,pensaban,1
,pensamos,1
,pensando,2
,pequenas,1
,pequenos,1
,perdidos,1
,permanecian,1
,pero,87
,perpo,1
,pescado,1
,picalos,1
,picaos,1
,pico,1
,piedad,1
,piedras,1
,pintad,2
,pintados,1
,pintores,2
,pisadas,1
,plantas,1
,plateros,1
,plumas,1
,pobres,2
,podemos,1
,poned,1
,por,51
,porque,41
,positivamente,1
,precisamente,1
,preguntandose,1
,preguntaron,2
,preguntaronles,1
,pregunto,1
,preparad,1
,presentandose,1
,presentareis,1
,primer,1
,primero,2
,primerolos,1
,principio,2
,probad,3
,probando,1
,probaremos,1
,pronto,2
,propios,1
,pueblos,2
,puertas,1
,pues,84
,puesto,2
,puhuyulpuhuyu,1
,pulseras,2
,qaholom,2
,qoacul,1
,qoacutec,1
,qocaib,1
,que,229
,quedate,1
,quees,1
,quel,1
,quemad,2
,quemando,2
,quenech,1
,quequmaha,1
,queremos,1
,querian,4
,querida,1
,querran,1
,quibaha,1
