parte,capit,ent_str_norm,n
0,1,ABUELAYELABUELO,1
0,1,AHRAXALAC,1
0,1,AHRAXATZEL,1
0,1,ALOM,1
0,1,BITOL,1
0,1,CREADORYELFORMADOR,1
0,1,CRISTIANISMO,1
0,1,EXISTIA,1
0,1,GUCUMATZ,1
0,1,HUNAHPUUTIU,1
0,1,HUNAHPUVUCH,1
0,1,IXMUCANE,1
0,1,IXPIYACOC,1
0,1,POPOLVUH,1
0,1,QAHOLOM,1
0,1,QUICHE,2
0,1,QUXCHO,1
0,1,QUXPALO,1
0,1,TEPEU,1
0,1,TZACOL,1
0,1,ZAQUINIMATZIIS,1
1,1,ASIDIJERON,1
1,1,ASIFUEENVERDAD,1
1,1,BUENA,1
1,1,CACULHAHURACAN,1
1,1,CHIPICACULHA,1
1,1,CIELO,1
1,1,COMOLANEBLINA,1
1,1,CORAZONDELATIERRA,1
1,1,CORAZONDELCIELO,3
1,1,DEESTAMANERAEXISTIAELCIELOYTAMBIENELCORAZONDELCIELO,1
1,1,DEGRANDESSABIOS,1
1,1,DIOS,1
1,1,ELPRIMEROSELLAMA,1
1,1,ELSEGUNDOESCHIPICACULHA,1
1,1,ELTERCERO,1
1,1,ESTABANOCULTOSBAJOPLUMASVERDESYAZULES,1
1,1,ESTAESLAPRIMERARELACION,1
1,1,FORMADOR,1
1,1,GUCUMATZ,6
1,1,HURACAN,2
1,1,NOHABIANADADOTADODEEXISTENCIA,1
1,1,NOHABIANADAJUNTO,1
1,1,NOHABIANADAQUEESTUVIERAENPIE,1
1,1,NOHABIATODAVIAUNHOMBRE,1
1,1,NOSEMANIFESTABALAFAZDELATIERRA,1
1,1,PRIMERO,1
1,1,RAXACACULHA,2
1,1,SOLOELCREADOR,1
1,1,SOLOESTABANELMAR,1
1,1,TEPEU,4
1,1,TIERRA,1
1,1,YESTOSTRES,1
1,2,ACLARE,1
1,2,ACONTINUACIONVINOLAADIVINACION,1
1,2,ALPRINCIPIO,1
1,2,AQUIESTARASENTRELAMALEZA,1
1,2,ASIDIJERON,1
1,2,ASIDIJERONCUANDOHICIERONSABERSUVOLUNTADALOSANIMALESPEQUENOSYGRANDESQUEHAYSOBRELAFAZDELATIERRA,1
1,2,ASILESFUEDICHOALOSADIVINOS,1
1,2,ASILESFUEDICHOALOSVENADOS,2
1,2,ASISERA,1
1,2,BIEN,1
1,2,BUENOS,1
1,2,CHIPICACULHA,1
1,2,CHIRACANIXMUCANE,1
1,2,CORAZONDELATIERRA,1
1,2,CORAZONDELCIELO,2
1,2,CREADOR,4
1,2,CREADORYELFORMADOR,2
1,2,CREADORYELFORMADORYLOSPROGENITORES,1
1,2,CREADORYELFUNDADOR,1
1,2,CUANDOELCREADORYEL,1
1,2,DAD,1
1,2,DECID,1
1,2,DECLARAD,1
1,2,DEESTAMANERALOSPROGENITORES,1
1,2,DETIERRA,1
1,2,DIGAMOSLES,1
1,2,ECHAD,1
1,2,ENTRAD,1
1,2,ESTASERAVUESTRASUERTE,1
1,2,FORMADOR,5
1,2,GUCUMATZ,2
1,2,HUNAHPUUTIU,2
1,2,HUNAHPUVUCH,2
1,2,HURACAN,2
1,2,INVOCAD,1
1,2,IXMUCANE,4
1,2,IXPIYACOC,3
1,2,IXPIYACOCYLAVIEJA,1
1,2,JUNTAOS,1
1,2,KAXACACULHA,1
1,2,NIMAC,1
1,2,NIMATZIIS,1
1,2,PORESTARAZON,2
1,2,PROGENITORES,3
1,2,PROVEMOS,1
1,2,SENORDELAESMERALDA,1
1,2,SENORDELAVERDEJICARA,1
1,2,SENORDELOSHERMOSOSPLATOS,1
1,2,SUERTECRIATURA,1
1,2,TEPEU,2
1,2,TODAVIA,1
1,2,TOLTECAT,1
1,2,TZITE,1
1,2,TZITEHAGASE,1
1,2,VOSOTROS,1
1,2,YALINSTANTE,1
