ent_str_norm,n,p,i,h,df,dfidf
SENORES,92,0.034861690034103825,4.842213679269256,0.16880775236558224,18,24.365465183064607
XIBALBA,91,0.034482758620689655,4.857980995127572,0.16751658603888178,16,24.376991296912205
HUNAHPU,76,0.028798787419477074,5.117848121882683,0.1473878201072694,17,24.41368495171345
IXBALANQUE,71,0.026904130352406214,5.216028515821586,0.14033271111153187,17,24.41368495171345
TOHIL,69,0.02614626752557787,5.257251178548099,0.13745749576347815,11,22.705433711616873
BALAMQUITZE,54,0.02046229632436529,5.6108881331628,0.11481165562364198,16,24.376991296912205
MAHUCUTAH,50,0.018946570670708603,5.721919445551544,0.1084107511472441,16,24.376991296912205
BALAMACAB,48,0.01818870784388026,5.780813134605112,0.10514552120539804,15,24.250070406727417
HACAVITZ,41,0.015536187949981054,6.008223630708184,0.09334489157219991,14,24.02689847599172
HUNHUNAHPU,41,0.015536187949981054,6.008223630708184,0.09334489157219991,8,20.188495648456104
VUCUBCAQUIX,39,0.014778325123152709,6.08037341646402,0.0898577352186801,6,17.63159673201514
IQUIBALAM,35,0.013262599469496022,6.236492618381302,0.08271210369205971,14,24.02689847599172
ZIPACNA,33,0.012504736642667677,6.321381515967815,0.07904721107500488,5,16.008169305848252
SENOR,32,0.012125805229253505,6.365775635326268,0.07719015548709382,10,22.016338611696504
HUNCAME,31,0.011746873815839333,6.411579324939393,0.07531601329030739,9,21.182732591532304
AVILIX,30,0.011367942402425162,6.4588850397177495,0.07342423311539693,10,22.016338611696504
VUCUBCAME,30,0.011367942402425162,6.4588850397177495,0.07342423311539693,9,21.182732591532304
HUNBATZ,25,0.009473285335354301,6.721919445551544,0.06367866090897635,4,14.094247824228052
HUNCHOUEN,24,0.00909435392194013,6.780813134605112,0.06166711452463915,4,14.094247824228052
GUCUMATZ,23,0.008715422508525956,6.842213679269256,0.059632783108447475,10,22.016338611696504
VUCUBHUNAHPU,22,0.008336491095111784,6.906344016688971,0.05757467539490616,7,19.01344923799586
CASAGRANDE,21,0.007957559681697613,6.973458212547508,0.055491709914171156,2,9.047123912114026
QUICHE,20,0.007578628268283441,7.043847540438906,0.05338270208744908,9,21.182732591532304
CABRACAN,18,0.006820765441455097,7.195850633883956,0.04908120932546844,3,11.81579836600757
ORIENTE,18,0.006820765441455097,7.195850633883956,0.04908120932546844,6,17.63159673201514
HURACAN,15,0.005683971201212581,7.4588850397177495,0.042396087758911044,10,22.016338611696504
TAMUB,15,0.005683971201212581,7.4588850397177495,0.042396087758911044,9,21.182732591532304
CORAZONDELCIELO,15,0.005683971201212581,7.4588850397177495,0.042396087758911044,9,21.182732591532304
IXMUCANE,13,0.0049261083743842365,7.6653359171851765,0.03776027545411417,9,21.182732591532304
COTUHA,13,0.0049261083743842365,7.6653359171851765,0.03776027545411417,5,16.008169305848252
AHPOP,12,0.004547176960970065,7.780813134605112,0.03538073422328964,7,19.01344923799586
TEPEU,12,0.004547176960970065,7.780813134605112,0.03538073422328964,6,17.63159673201514
ILOCAB,11,0.004168245547555892,7.906344016688971,0.032955583245008975,7,19.01344923799586
NIHAIB,10,0.0037893141341417205,8.043847540438906,0.03048066517786626,7,19.01344923799586
TULAN,9,0.0034103827207275484,8.195850633883957,0.027950987383461773,4,14.094247824228052
GALEL,9,0.0034103827207275484,8.195850633883957,0.027950987383461773,2,9.047123912114026
QUICAB,9,0.0034103827207275484,8.195850633883957,0.027950987383461773,3,11.81579836600757
PROGENITORES,9,0.0034103827207275484,8.195850633883957,0.027950987383461773,3,11.81579836600757
CAVEC,9,0.0034103827207275484,8.195850633883957,0.027950987383461773,6,17.63159673201514
CREADOR,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,4,14.094247824228052
AHPOPCAMHA,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,5,16.008169305848252
CUCHUMAQUIC,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,3,11.81579836600757
AHAUQUICHE,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,5,16.008169305848252
IZMACHI,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,1,5.523561956057013
DIOS,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,4,14.094247824228052
FORMADOR,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,4,14.094247824228052
AHTZICVINAC,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,3,11.81579836600757
CREADORYELFORMADOR,8,0.0030314513073133762,8.365775635326269,0.02536044148640021,4,14.094247824228052
RAXACACULHA,7,0.002652519893899204,8.558420713268664,0.022701381202304145,6,17.63159673201514
IXPIYACOC,7,0.002652519893899204,8.558420713268664,0.022701381202304145,5,16.008169305848252
IXPUCH,7,0.002652519893899204,8.558420713268664,0.022701381202304145,1,5.523561956057013
CHIPICACULHA,7,0.002652519893899204,8.558420713268664,0.022701381202304145,7,19.01344923799586
IXTAH,7,0.002652519893899204,8.558420713268664,0.022701381202304145,1,5.523561956057013
TZIQUINAHA,7,0.002652519893899204,8.558420713268664,0.022701381202304145,7,19.01344923799586
CASAS,7,0.002652519893899204,8.558420713268664,0.022701381202304145,2,9.047123912114026
TEPEPUL,5,0.0018946570670708603,9.043847540438906,0.01713498965600399,2,9.047123912114026
AHALPUH,5,0.0018946570670708603,9.043847540438906,0.01713498965600399,3,11.81579836600757
CORAZONDELATIERRA,5,0.0018946570670708603,9.043847540438906,0.01713498965600399,4,14.094247824228052
BALAM,5,0.0018946570670708603,9.043847540438906,0.01713498965600399,4,14.094247824228052
CAVIZIMAH,5,0.0018946570670708603,9.043847540438906,0.01713498965600399,3,11.81579836600757
TULANZUIVA,5,0.0018946570670708603,9.043847540438906,0.01713498965600399,4,14.094247824228052
LOSDE,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,3,11.81579836600757
LASCASAS,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,1,5.523561956057013
PUCBALCHAH,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,3,11.81579836600757
CASAOSCURA,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,3,11.81579836600757
IXQUIC,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,3,11.81579836600757
SENORESDEXIBALBA,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,4,14.094247824228052
XIQUIRIPAT,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,3,11.81579836600757
PRIMERO,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,4,14.094247824228052
QOCAIB,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,2,9.047123912114026
CHAMIABAC,4,0.0015157256536566881,9.365775635326269,0.014195946396856793,2,9.047123912114026
ELSENOR,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
XULU,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
QOAHAU,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
QOACUTEC,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
TODOSLOSDEXIBALBA,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
PACAM,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
VENID,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
JUNTOS,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
CASADELOSMURCIELAGOS,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
RABINAL,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
QUICABYCAVIZIMAH,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
CAMAZOTZ,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
YSUSCORAZONES,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
TAMAZUL,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
QOCAVIB,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
CHIMALMAT,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
HUNAHPUUTIU,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
HUNAHPUVUCH,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
SOLOPORUNPRODIGIO,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
ZAQUICAZ,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
SENORESDELQUICHE,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
REUNIERONSE,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
XAN,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
POPOLVUH,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
SENORESHUNCAME,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
CHAMIAHOLOM,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
TECUM,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
CHOCOH,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
UCHUCHCAMHA,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
AHALGANA,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
PORESTARAZON,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
AHAUGALEL,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
PAXIL,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
ICOQUIH,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,2,9.047123912114026
VEINTICUATROCASAS,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,3,11.81579836600757
AHALCANA,3,0.0011367942402425162,9.780813134605111,0.01111877203630744,1,5.523561956057013
CURADME,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
NIMCHOCOHCAVEC,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
GRANDES,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
GRANDEMENTE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
POPOLVINACCHITUY,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
VOLVEREIS,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
SENORESDECAVEC,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
QUIENES,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
GUMARCAAH,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
AHPOPYELAHPOPCAMHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
AMACTAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
XICYPATAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
AHPOPACHIH,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
SENORDELOSDENIHAIB,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
HOLOMTUCUR,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
CHABITUCUR,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
LOLMETQUEHNAY,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
PATAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
BALAMQUITZEYBALAMACAB,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
QUICRIXCAC,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
IZTAYUL,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
SUOCOTE,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
LLORABAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
ALLA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
BALAMIHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
YACOLATAM,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
ZACCABAHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
ZACULEU,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
MEAUAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
VUESTRAS,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
PUHUY,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
PICO,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
AHAUAHTZICVINAC,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
QUILITZ,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
YHABIENDOCELEBRADOCONSEJOTODOSLOSSENORES,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
CHIPIXAB,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
VOC,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,1,5.523561956057013
ZAQUINIMATZIIS,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
IBAN,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
NIMACAMHA,2,0.0007578628268283441,10.365775635326269,0.00785583602525674,2,9.047123912114026
