w0,w1,w2,n
,,,79
,,</s>,25
,,a,9
,,abuela,1
,,acaso,1
,,acompanadnos,1
,,agrego,1
,,aguardemos,1
,,ah,2
,,ahora,2
,,alla,1
,,amantes,1
,,anda,2
,,aqui,2
,,asi,5
,,atadlos,1
,,ay,14
,,buena,1
,,bueno,2
,,buenos,1
,,chabicacchihunahpu,1
,,comelo,1
,,comenzara,1
,,como,11
,,con,1
,,contadnos,1
,,contemplad,1
,,contestareis,2
,,contestaron,2
,,contesto,1
,,criatura,1
,,cual,1
,,cuando,2
,,danos,2
,,de,15
,,decia,7
,,decian,5
,,dentro,2
,,desatad,1
,,desgraciados,3
,,despedazad,1
,,dice,2
,,digamosles,1
,,dijeran,1
,,dijeron,22
,,dijo,15
,,dijole,1
,,diras,1
,,direis,3
,,donde,2
,,e,1
,,ea,1
,,el,6
,,en,3
,,eramos,1
,,eres,1
,,esta,4
,,estan,1
,,estara,1
,,este,1
,,esto,2
,,exclamaron,3
,,exclamo,3
,,fue,1
,,gritaron,1
,,grito,1
,,guardianes,1
,,ha,2
,,habeis,1
,,habla,1
,,hablad,2
,,haced,1
,,hagamos,1
,,hagase,1
,,han,1
,,has,1
,,hasta,1
,,hay,1
,,he,2
,,hemos,3
,,hormigas,1
,,id,3
,,ixpurpuvec,1
,,juntaos,1
,,la,2
,,le,25
,,les,23
,,levantaos,2
,,levantate,1
,,llamadlos,1
,,lleguemos,1
,,lo,2
,,los,1
,,luego,2
,,manana,1
,,matad,1
,,mia,1
,,mira,1
,,mirad,1
,,miranos,1
,,muchachos,1
,,muy,2
,,ni,1
,,no,19
,,nos,3
,,nuestra,1
,,nuestros,1
,,observa,1
,,oh,21
,,oid,1
,,oscurece,1
,,pavilix,1
,,pensaban,1
,,pero,2
,,perpo,1
,,pintad,1
,,por,7
,,porque,1
,,preguntaron,2
,,pregunto,1
,,presentareis,1
,,probad,3
,,puesto,1
,,puhuyulpuhuyu,1
,,que,60
,,quees,1
,,quel,1
,,quemad,1
,,queremos,1
,,querran,1
,,quien,5
,,quienes,2
,,sacrificadnos,1
,,sacrificaos,1
,,sal,1
,,salud,12
,,se,4
,,seguid,1
,,sera,2
,,sereis,1
,,si,6
,,solo,1
,,somos,1
,,sus,1
,,te,1
,,tened,4
,,tierra,1
,,tomemos,1
,,traedme,1
,,tu,3
,,unios,1
,,utiu,1
,,vamonos,2
,,vamos,2
,,venid,2
,,verdaderamente,3
,,vete,1
,,viboras,1
,,vosotros,3
,,vuestras,1
,,xpurpuved,1
,,y,12
,,ya,3
,,yo,8
,</s>,</s>,2124
,a,,1
,a,cada,2
,a,cauda,1
,a,causa,1
,a,corta,1
,a,cortar,1
,a,cortarlas,1
,a,donde,8
,a,huracan,1
,a,ia,1
,a,la,4
,a,las,3
,a,los,2
,a,mediodia,1
,a,ninguna,1
,a,nosotros,1
,a,nuestro,1
,a,oidos,1
,a,pesar,1
,a,probar,2
,a,que,1
,a,quien,2
,a,quienes,3
,a,reunirse,1
,a,si,1
,a,su,1
,a,sus,1
,a,ti,1
,a,tocar,1
,a,todos,3
,a,traer,1
,a,ver,1
,a,zipacna,1
,abandonando,su,1
,aborrecian,a,1
,abuela,,10
,abuela,de,1
,abuela,del,1
,abuela,nuestra,4
,abuela,nuestrasolo,1
,abuela,y,1
,abuelita,,1
,abuelo,,1
,abuelos,,1
,abundante,en,1
,acaso,no,8
,aceptad,vuestro,1
,acompanadnos,para,1
,acoplaos,,1
,acostumbraban,no,1
,aculvinac,,1
,ademas,,2
,adonde,estaba,1
,adoradnos,,1
,agarraban,las,1
,agregaron,,1
,agrego,,3
,aguardemos,que,1
,ah,,2
,ah,raxa,2
,ahal,puh,1
,ahalcana,,2
,ahalgana,,1
,ahalmez,,1
,ahalpuh,,2
,ahaltoco,,1
,ahau,,1
,ahauahpop,,1
,ahaugale,,1
,ahaulolmet,,1
,ahaunimchocohahau,y,1
,ahora,lo,1
,ahora,probareis,1
,ahora,quedate,1
,ahora,si,2
,ahora,velaremos,1
,ahpop,achih,1
,ahpop,y,1
,ahtzicvinac,,1
,ahtzicvinacahau,se,1
,al,abrir,1
,al,amanecer,1
,al,bano,1
,al,cerro,1
,al,formador,1
,al,gobierno,1
,al,instante,5
,al,jabali,1
,al,lado,1
,al,mismo,1
,al,observar,1
,al,orden,1
,al,patio,1
,al,pecado,1
,al,pie,1
,al,pisote,1
,al,principio,1
,al,punto,3
,al,que,1
,al,segundo,1
,al,tzite,1
,alabadnos,a,1
,alargaban,y,1
,alcanzaron,a,2
,alegraronse,mucho,1
,alegres,todos,1
,alguaciles,de,1
,algunas,hubo,1
,alimentos,pequenos,1
,alla,de,2
,alla,donde,1
,alla,en,3
,alla,esta,1
,alla,quedaron,1
,alli,comian,1
,alli,dentro,1
,alli,donde,1
,alli,en,3
,alli,esta,1
,alli,estaba,1
,alli,estuvieron,1
,alli,instalaron,1
,alli,os,2
,alli,quemaron,1
,alli,se,1
,alom,,2
,amantes,,1
,ambos,de,1
,amparadores,y,1
,anda,a,2
,anda,llamarlos,1
,andamos,buscando,1
,andrajosos,y,1
,anduvieron,,1
,anonas,,1
,ante,los,1
,antes,que,1
,apastes,,1
,apretadme,los,1
,aquel,les,1
,aquel,que,1
,aquellos,adoradores,1
,aquellos,que,3
,aqui,a,1
,aqui,deseamos,1
,aqui,esta,4
,aqui,estaban,1
,aqui,estamos,2
,aqui,se,2
,arboles,,1
,arenas,arrancadas,1
,armadillo,,1
,arreglados,por,1
,asi,,3
,asi,como,1
,asi,conviene,1
,asi,daremos,1
,asi,decian,1
,asi,desaparecieron,1
,asi,dijeron,2
,asi,encontraron,1
,asi,fue,1
,asi,les,3
,asi,llamada,1
,asi,llamadas,2
,asi,llamado,5
,asi,llamados,11
,asi,lleno,1
,asi,lo,2
,asi,nombrado,1
,asi,quedo,1
,asi,se,3
,asi,sea,2
,asi,sera,2
,atadlos,debajo,1
,atizad,bien,1
,aun,no,1
,aunque,ellos,1
,aunque,esto,1
,aunque,no,1
,aunque,se,1
,avilix,,1
,avilix,y,21
,avuix,y,1
,ay,,16
,ay,de,2
,ayunando,,1
,ayuntaos,,1
,baiamquitze,tuvo,1
,bailad,,1
,bailarines,,1
,bailaron,el,1
,baja,a,1
,bajo,los,2
,balam,acab,3
,balamacab,,32
,balamacab,era,1
,balamacab,mahucutah,2
,balamacab,y,5
,balamiha,,2
,balamquitze,,5
,barrancas,,1
,bejucos,,1
,bien,,2
,bien,adornadas,1
,bien,que,1
,bitol,,2
,bostezaba,y,1
,boveda,del,1
,buena,ha,1
,bueno,,5
,buenocontesto,,1
,buenos,saldran,1
,buscaron,dentro,1
,busquemos,dos,1
,cabezas,y,1
,cabracan,se,1
,cacareaban,y,1
,cada,dia,2
,cada,generacion,1
,cada,uno,1
,cahapaluna,,1
,cahucutah,,1
,calabacillas,,1
,calentad,nuestra,1
,calladas,o,1
,callado,y,1
,caminaban,sin,1
,caminos,planos,1
,cana,,1
,canas,vivas,1
,cangrejos,,1
,cantiles,,1
,cantores,,2
,caquix,tucur,1
,caquixtucur,y,1
,castigala,,1
,cavec,,1
,cavizimah,,1
,cayo,en,1
,cazam,ah,1
,chabicacchihunahpu,,1
,chabitucur,,1
,chamiabac,,4
,chamiaholom,,3
,chayinha,,1
,chichac,,1
,chipicaculha,,4
,chipicaculha,y,2
,chipinanauac,,1
,chiquix,,1
,chitemah,,1
,chomiha,se,1
,chupar,la,1
,chuvatzac,y,1
,ciempies,,1
,ciertamente,no,1
,ciertamente,son,1
,ciertamente,yo,1
,cohah,,1
,comadreja,,1
,comelo,,1
,comenzara,ya,1
,comenzo,la,1
,comenzo,su,1
,como,ahora,1
,como,el,2
,como,es,1
,como,esmeraldas,1
,como,estais,2
,como,fue,4
,como,fueron,1
,como,guardianes,1
,como,ha,1
,como,han,1
,como,haremos,5
,como,hechas,1
,como,la,1
,como,les,1
,como,llamaban,1
,como,locos,1
,como,no,1
,como,nos,1
,como,os,1
,como,podrian,1
,como,se,3
,como,senal,1
,como,si,2
,como,testimonio,1
,como,una,2
,con,aire,1
,con,el,1
,con,lo,2
,con,quien,1
,con,seguridad,2
,con,vosotras,1
,concedeles,la,1
,conchas,de,1
,congregados,en,1
,construyeron,una,1
,consultando,entre,1
,contadnos,,1
,contemplaban,el,1
,contemplad,el,1
,contestando,,1
,contestareis,,2
,contestaron,,18
,contestaron,aquellos,2
,contestaron,ellos,1
,contestaron,estos,3
,contestaron,la,1
,contestaron,las,1
,contestaron,los,1
,contestaron,todos,1
,contestaronlos,muchachos,1
,contesto,,7
,contesto,el,5
,contesto,ella,1
,contesto,este,1
,contesto,ixmucur,1
,contesto,la,2
,contesto,tohil,1
,contesto,zipacna,1
,continuad,vuestro,1
,conversaron,,1
,corazon,de,2
,corazon,del,5
,cortados,de,1
,criatura,,2
,cual,es,1
,cuando,abrieron,1
,cuando,aclare,1
,cuando,amanece,1
,cuando,amanecio,2
,cuando,amanezca,2
,cuando,aparecieron,1
,cuando,aparecio,1
,cuando,construyeron,1
,cuando,contaban,1
,cuando,despertaron,1
,cuando,el,2
,cuando,escuchaban,1
,cuando,este,1
,cuando,estuvieron,2
,cuando,fue,2
,cuando,fuisteis,1
,cuando,hablaron,1
,cuando,iban,1
,cuando,la,1
,cuando,las,1
,cuando,les,1
,cuando,llegaban,1
,cuando,llegaron,1
,cuando,lo,2
,cuando,los,3
,cuando,nace,1
,cuando,nos,2
,cuando,oraban,1
,cuando,os,1
,cuando,oyeron,2
,cuando,salga,1
,cuando,salieron,1
,cuando,salio,1
,cuando,se,6
,cuando,surgieron,1
,cuando,te,1
,cuando,terminaron,1
,cuando,vencierona,1
,cuando,vinieron,1
,cuando,ya,2
,cuarta,generacion,1
,cuatro,de,1
,cuatro,senores,1
,cuchumaquic,,3
,cuentas,amarillas,1
,cuevas,,1
,culbd,y,1
,culebras,,1
,cumatz,,1
,cumplase,asi,1
,cumplid,vuestro,1
,curamos,los,1
,cuya,casa,1
,cuya,figura,1
,cuya,fruta,1
,cuya,historia,1
,cuya,madre,1
,cuyas,varas,1
,cuyo,contenido,1
,cuyo,nombre,1
,cuyo,oficio,1
,cuyo,reinado,1
,cuyos,corazones,1
