chunk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,1.0000000000000004,0.3031834302446167,0.23894411904504909,0.11359562327984721,0.13384976637861717,0.04530757042337956,0.037406167153879344,0.032125969988121686,0.11216949557268463,0.13716202628837706,0.07311154707271925,0.07601063613283021,0.0849587929381282,0.09719648876726061,0.07274342720873077,0.0629110780727666,0.03874382353854042,0.08341816380529812,0.05391333907691964,0.03630469801817617,0.0379287020001946,0.042729250174062094,0.023982413756251413,0.06114087930260641,0.07691397750841132,0.049333800257020666,0.051864448172933286,0.07071392724349619,0.2601664653151571,0.3106480654535185,0.26528529657239497,0.07637212623182792,0.027249430705389387,0.11550035788972111,0.06419237977578855,0.08653129202070053,0.04326121551459237,0.05688725919057859,0.021479801126295356,0.04100906758043253,0.03640156057782245,0.09893300984281962,0.08374607275581876,0.09559836914107298,0.09553874743363504,0.04534402874958159,0.05917233839839818,0.21175869884915724,0.046100912694372886
2,0.3031834302446167,1.0,0.24480459860568876,0.15748579301533636,0.08280068619405462,0.044971989434808804,0.04444621527539982,0.036472226560584124,0.16053238398819547,0.12620365459918445,0.045220241053660994,0.0211599809352447,0.079024600387719,0.08120755090346016,0.09893667470651664,0.1315225884560978,0.05416189837378989,0.1828712348583268,0.0554857773004337,0.03208820879939061,0.04458492848750983,0.03387460003792132,0.03975130614641609,0.06798913100876283,0.060369732724939,0.06204634244473238,0.04147860183520081,0.06865040457734925,0.3491339714765258,0.29104671703440593,0.22765463000005673,0.05264196772571053,0.02575033826716576,0.0685317644224589,0.07666339875778569,0.10265198274419338,0.18179130309621302,0.08704081451841826,0.018584670718582955,0.03684007757661662,0.03813691378077959,0.1179287782122261,0.06317143621247691,0.041383008732624516,0.0749559985885085,0.0707821061434794,0.024590644441645666,0.11012006705966924,0.02773720814892015
3,0.23894411904504909,0.24480459860568876,1.0000000000000002,0.2237405079339394,0.10030212850609316,0.1164716276706552,0.05232419598266504,0.036427846942746166,0.08451648700662187,0.10975910306290271,0.0763129962476869,0.04501730673204334,0.09041236433454564,0.05661753698289945,0.11939147998016834,0.07134405432657545,0.15030026758015888,0.09381380709010317,0.10971656081526236,0.06567235713533007,0.07797015131311733,0.043593337218362116,0.022827526494671815,0.03877883246968443,0.07199145448660652,0.05850925579145772,0.02623712312495479,0.12387511674948125,0.22900129647455406,0.22539843922251065,0.19618116771680585,0.04653773054627163,0.032998513965899326,0.06426549503458628,0.05712551646775702,0.04970918336999472,0.04155551807893109,0.0538340626830391,0.03295022546625514,0.03370510447804362,0.06657566864552865,0.05902666284964238,0.0323426664166378,0.02469056247121604,0.041710918897736184,0.03465570189176558,0.025515389311949882,0.12119471974230776,0.012886719450789173
4,0.11359562327984721,0.15748579301533636,0.2237405079339394,1.0000000000000002,0.13273661152109145,0.10556242219319768,0.03250713489521798,0.061067892642798716,0.07521046302508105,0.07718248373836618,0.04874882474113325,0.04818975450939353,0.05642934467343713,0.08821872507090607,0.054263596516050304,0.06107170197611965,0.06097812374136256,0.0996075964028658,0.054866852376381725,0.025495298434409116,0.053794111490887524,0.034631959996498235,0.039237474786240574,0.09019127526614226,0.07093955350984361,0.08407214593189981,0.08148739562821773,0.0645355022361002,0.1415712091765291,0.1274508048757414,0.14349962047548576,0.09144471669426914,0.08077433358928746,0.09045040222833307,0.060864710976582026,0.07350436465930668,0.08335066550650454,0.0908419440244417,0.03623726637745105,0.042717114285593015,0.08311780915603527,0.048416383749490914,0.03927643438457471,0.04997660654837593,0.0493250716085604,0.05649849015099597,0.036829648760833306,0.0748835221786053,0.043926924513553685
5,0.13384976637861717,0.08280068619405462,0.10030212850609316,0.13273661152109145,0.9999999999999994,0.43603489159882947,0.15769060248609182,0.23217053335840998,0.3228473839781867,0.24426779889780822,0.1678805019332998,0.10496683144606697,0.1472411429819883,0.12514926467962312,0.08249669529433117,0.11079482856882034,0.05485202950465765,0.08691569450897332,0.1097395103157745,0.0994206650518721,0.08575509201809725,0.07559887047286373,0.09559087162851343,0.11308209892962752,0.0760307625802851,0.09314549004208544,0.07843137471773105,0.08426899560731241,0.11271242063045621,0.11041602240087924,0.12593910932574054,0.049645083706590785,0.07706948474843055,0.06460536428490347,0.07569657908540231,0.08014676594910249,0.05875540351553827,0.06275888938433438,0.030932406977533255,0.09432791381963648,0.06335915005401087,0.0849274475880628,0.08092541483891459,0.06801186135868914,0.04223740119769178,0.05386189515943098,0.031378663195410474,0.12722024859901154,0.015588112242359902
6,0.04530757042337956,0.044971989434808804,0.1164716276706552,0.10556242219319768,0.43603489159882947,1.0000000000000004,0.0769190084856712,0.15738674342157882,0.19872997650279928,0.14123938078878656,0.13665748324560714,0.13566503590464393,0.1014550847001886,0.11029312253805186,0.1807279181249371,0.08329982466894083,0.1695555905609053,0.0818323950883528,0.17031925145590196,0.15039272657358263,0.12847823899738756,0.1076196242429133,0.08357762293782502,0.10098193437388137,0.07548521249612254,0.08007067721033179,0.1321645837802825,0.12040425444388318,0.07851221222308795,0.08174555947469515,0.08910685543791703,0.06811671002473664,0.07759669769526197,0.0735855321455156,0.020109663513040513,0.025470906893458822,0.04061844302812333,0.06939460729627218,0.04862444309692856,0.07586874543541779,0.04947054770041603,0.05268621496793593,0.08115565348469689,0.08251916543350599,0.08613200748242691,0.05961780410750347,0.049760312301063675,0.07478865672710068,0.07763920903853738
7,0.037406167153879344,0.04444621527539982,0.05232419598266504,0.03250713489521798,0.15769060248609182,0.0769190084856712,1.0,0.3389933834430746,0.14251979415619773,0.08429785062336502,0.0365719938013342,0.029929928231830015,0.10789449727750608,0.1082445645402272,0.032287586429712876,0.10604928716475791,0.02642653052023944,0.06015338102502733,0.049041513726400636,0.045236955331920604,0.07052887004595244,0.05761738168456031,0.09662689762455454,0.06039628642903321,0.039638617342637815,0.07559956498543952,0.04388736276901569,0.03134291852498811,0.05441064562424409,0.027535425074617904,0.041651107314254934,0.020447551452880856,0.024931651065866242,0.031202631713208005,0.02063826066935522,0.02463339560178611,0.02602370677065526,0.06261531509359038,0.036744154819514416,0.035400406536228064,0.01898702019189416,0.02376190281439423,0.025521614694449066,0.04073179429152003,0.01747472430732394,0.027132466091077726,0.020496509996779686,0.03026509282950826,0.007994953989570569
8,0.032125969988121686,0.036472226560584124,0.036427846942746166,0.061067892642798716,0.23217053335840998,0.15738674342157882,0.3389933834430746,1.0000000000000004,0.2605110706782057,0.13167452279748876,0.0820950094931522,0.07347266469496903,0.08272218672994001,0.04714034589579135,0.07201510846883734,0.07908703940962203,0.052593294580815825,0.07301777740677426,0.11379671473063348,0.06311412800449608,0.07614699957859151,0.09571700781767918,0.17817022422252324,0.1322952075817996,0.0769838121909353,0.12643647940503186,0.08781720241297276,0.06851906818266089,0.07358709730712715,0.027129662563730016,0.04067241877936782,0.029655634165437407,0.051756325107269976,0.08245900464314007,0.0381213695560404,0.03424039916143686,0.05094728145197484,0.09012195164898723,0.06262347405228026,0.051970980016773076,0.049941092137752746,0.04080148151659843,0.047966944027584835,0.0566998752310786,0.038619941255384996,0.029912917592362337,0.02780339439436856,0.03927659962986037,0.00468492084653653
9,0.11216949557268463,0.16053238398819547,0.08451648700662187,0.07521046302508105,0.3228473839781867,0.19872997650279928,0.14251979415619773,0.2605110706782057,1.0000000000000002,0.32394420458989337,0.09624260803855778,0.07746329183761712,0.1070404124488875,0.06750551497572486,0.09299953351349297,0.16944397572673708,0.0734814531551675,0.10939818494369741,0.10738550609617058,0.09690335822831048,0.10407021991085139,0.09398409184336158,0.11210256362491787,0.1407592638885758,0.09906956025254969,0.10554897341172043,0.11619992807947235,0.07639425299969504,0.07599073576039414,0.11941008413214772,0.14636947552754143,0.06355023351894645,0.07481741432001957,0.08750050892041902,0.09388840894745949,0.08952623346821877,0.09487979614525847,0.08613786446938923,0.06715329882929846,0.07519638856930067,0.043689337485151525,0.09158578149977517,0.11434501914526923,0.04884832570878112,0.03263474221210969,0.07881140466550877,0.05781563652373835,0.06842554494376987,0.023633185468934483
10,0.13716202628837706,0.12620365459918445,0.10975910306290271,0.07718248373836618,0.24426779889780822,0.14123938078878656,0.08429785062336502,0.13167452279748876,0.32394420458989337,1.0,0.4119035968719101,0.18289480920650644,0.17551530296164447,0.17370455338273427,0.15640024345491163,0.21425763929950037,0.13117854162578713,0.09000098873549767,0.1363914669305644,0.12459049851444025,0.18892542307373847,0.171167343826755,0.11694424752069159,0.16284942134638333,0.1797506351640321,0.11650643698352202,0.14120470093854537,0.13015762565567007,0.11091374013713565,0.10041694197613524,0.09511384989264114,0.05767659109423674,0.04860360435460914,0.0806018287786896,0.04272189501091273,0.048216226188618434,0.09556790065329172,0.062456382055517054,0.0492374984897729,0.07497627552178387,0.0380526104073378,0.08302550723752439,0.06934105474941372,0.039359667590977164,0.09473037686175362,0.07350105849857899,0.048042892680983836,0.10474766782533908,0.049659720037398075
