para_num,sent_num,token_num,token_str,term_str
0,0,0,ARE,are
0,0,1,V,v
0,0,2,XE,xe
0,0,3,OHER,oher
1,0,0,Tzih,tzih
1,0,1,varal,varal
1,0,2,Quiche,quiche
1,0,3,vbi,vbi
2,0,0,Varal,varal
2,0,1,xchicatzibah,xchicatzibah
2,0,2,vi,vi
2,0,3,xchicatiquiba,xchicatiquiba
2,0,4,vi,vi
2,0,5,oher,oher
2,0,6,"tzih,",tzih
2,0,7,"vticaribal,",vticaribal
2,0,8,vxenabal,vxenabal
2,0,9,puch,puch
2,0,10,ronohel,ronohel
2,0,11,"xban,",xban
2,0,12,pa,pa
2,0,13,tinamit,tinamit
2,0,14,"quiche,",quiche
2,0,15,ramac,ramac
2,0,16,quiche,quiche
2,0,17,vinac;,vinac;
2,0,18,arecut,arecut
2,0,19,xchicacam,xchicacam
2,0,20,vi,vi
2,0,21,"vcutunizaxic,",vcutunizaxic
2,0,22,"vcalahobizaxic,",vcalahobizaxic
2,0,23,vtzihoxic,vtzihoxic
2,0,24,puch,puch
2,0,25,euaxibal,euaxibal
2,0,26,zaquiribal,zaquiribal
2,0,27,rumal,rumal
2,0,28,tzacol,tzacol
2,0,29,bitol,bitol
2,0,30,"alom,",alom
2,0,31,qaholom,qaholom
2,0,32,quibi,quibi
2,0,33,hun,hun
2,0,34,ahpu,ahpu
2,0,35,"vuch,",vuch
2,0,36,hun,hun
2,0,37,ahpu,ahpu
2,0,38,"vtiu,",vtiu
2,0,39,zaquinimac,zaquinimac
2,0,40,"tzÿz,",tzÿz
2,0,41,"tepeu,",tepeu
2,0,42,qucumatz,qucumatz
2,0,43,vqux,vqux
2,0,44,"cho,",cho
2,0,45,vqux,vqux
2,0,46,"palo,",palo
2,0,47,ah,ah
2,0,48,"raxalaε,",raxalaε
2,0,49,ah,ah
2,0,50,raxatzel,raxatzel
2,0,51,chu,chu
2,0,52,"qhaxic,",qhaxic
2,0,53,"rachbixic,",rachbixic
2,0,54,rachtzihoxic,rachtzihoxic
2,0,55,rÿ,rÿ
2,0,56,"iyom,",iyom
2,0,57,mamom,mamom
2,0,58,"xpiyacoc,",xpiyacoc
2,0,59,xmucane,xmucane
2,0,60,"vbi,",vbi
2,0,61,matzanel,matzanel
2,0,62,chuquenel,chuquenel
2,0,63,camul,camul
2,0,64,"yiom,",yiom
2,0,65,camul,camul
2,0,66,mamom,mamom
2,0,67,chuqhaxic,chuqhaxic
2,0,68,pa,pa
2,0,69,quiche,quiche
2,0,70,tzih,tzih
2,1,0,Ta,ta
2,1,1,xquitzihoh,xquitzihoh
2,1,2,ronohel,ronohel
2,1,3,ruq,ruq
2,1,4,xquiban,xquiban
2,1,5,chic,chic
2,1,6,chizaquil,chizaquil
2,1,7,"qolem,",qolem
2,1,8,zaquil,zaquil
2,1,9,tzih,tzih
2,1,10,vae,vae
2,1,11,xchicatzibah,xchicatzibah
2,1,12,chupan,chupan
2,1,13,chic,chic
2,1,14,vqhabal,vqhabal
2,1,15,Dios,dios
2,1,16,pa,pa
2,1,17,christianoil,christianoil
2,1,18,chic,chic
2,1,19,xchiquelezah,xchiquelezah
2,1,20,rumal,rumal
2,1,21,mahabi,mahabi
2,1,22,chic,chic
2,1,23,ilbal,ilbal
2,1,24,re,re
2,1,25,popo,popo
2,1,26,vuh,vuh
2,2,0,ilbal,ilbal
2,2,1,zac,zac
2,2,2,petenac,petenac
2,2,3,chaca,chaca
2,2,4,palo,palo
2,3,0,vtzihoxic,vtzihoxic
2,3,1,camuhibal,camuhibal
2,3,2,ilbal,ilbal
2,3,3,zacqazlem,zacqazlem
2,3,4,chuqhaxic,chuqhaxic
2,4,0,qo,qo
2,4,1,nabe,nabe
2,4,2,"vuhil,",vuhil
2,4,3,oher,oher
2,4,4,tzibam,tzibam
2,4,5,puch,puch
2,4,6,xa,xa
2,4,7,eval,eval
2,4,8,vvach,vvach
2,4,9,ilol,ilol
2,4,10,"re,",re
2,4,11,bizol,bizol
2,4,12,"re,",re
2,4,13,nim,nim
2,4,14,"vpeoxic,",vpeoxic
2,4,15,vtzihoxic,vtzihoxic
2,4,16,"puch,",puch
2,4,17,ta,ta
2,4,18,chiquiz,chiquiz
2,4,19,tzuk,tzuk
2,4,20,ronohel,ronohel
2,4,21,cah,cah
2,4,22,"vleu,",vleu
2,4,23,vcah,vcah
2,4,24,"tzucuxic,",tzucuxic
2,4,25,vcah,vcah
2,4,26,xucutaxic,xucutaxic
