seq_id|ana_id
0|dios
1|tinamit_k'iche'
2|tz'aqol
3|b'itol
4|alom
5|k'ajolom
6|junajpu_wuch'
7|junajpu_utiw
8|saqi_nim_aq_sis
9|tepew_q'ukumatz
10|uk'u'x_cho
11|uk'u'x_palo
12|ajraxa_laq
13|ajraxa_tzel
14|ixmukane
15|xpiyakok
16|xpiyakok
17|ixmukane
18|ixmukane
19|xpiyakok
20|ixmukane
21|xpiyakok
22|tinamit_k'iche'
23|dios
24|popol_wuj
25|palo
26|tz'aqol
27|b'itol
28|alom
29|k'ajolom
30|palo
31|tz'ikin
32|kar
33|tap
34|palo
35|palo
36|tz'aqol
37|b'itol
38|tepew_q'ukumatz
39|alom
40|k'ajolom
41|q'ukumatz
42|uk'u'x_kaj
43|tepew_q'ukumatz
44|tepew_q'ukumatz
45|uk'u'x_kaj
46|jun_raqan
47|kaquilja_jun_raqan
48|ch'ipi_kaqulja
49|raxa_kaqulja
50|uk'u'x_kaj
51|tepew_q'ukumatz
52|k'ool
53|q'ukumatz
54|uk'u'x_kaj
55|jun_raqan
56|ch'ipi_kaqulja
57|raxa_kaqulja
58|uk'u'x_kaj
59|uk'u'x_ulew
60|kej
61|tz'ikin
62|koj
63|b'alam
64|kumatz
65|sochoj
66|k'anti'
67|alom
68|k'ajolom
69|kej
70|tz'ikin
71|kej
72|tz'ikin
73|kej
74|tz'ikin
75|tz'ikin
76|tz'ikin
77|kej
78|tz'ikin
79|alom
80|k'ajolom
81|kej
82|tz'ikin
83|kej
84|tz'ikin
85|tz'aqol
86|b'itol
87|alom
88|k'ajolom
89|kej
90|tz'ikin
91|koj
92|b'alam
93|kumatz
94|alom
95|k'ajolom
96|jun_raqan
97|ch'ipi_kaqulja
98|raxa_kaqulja
99|uk'u'x_kaj
100|uk'u'x_ulew
101|tz'aqol
102|b'itol
103|alom
104|k'ajolom
105|tz'aqol
106|b'itol
107|alom
108|k'ajolom
109|tz'aqol
110|b'itol
111|alom
112|k'ajolom
113|tz'aqol
114|b'itol
115|xpiyakok
116|ixmukane
117|junajpu_wuch'
118|junajpu_utiw
119|tz'aqol
120|b'itol
121|xpiyakok
122|ixmukane
123|rati't_q'ij
124|rati't_saq
125|tz'aqol
126|b'itol
127|xpiyakok
128|ixmukane
129|jun_raqan
130|tepew_q'ukumatz
131|xpiyakok
132|ixmukane
133|ixmukane
134|xpiyakok
135|xpiyakok
136|ixmukane
137|junajpu_wuch'
138|junajpu_utiw
139|ka'mul_alom
140|ka'mul_k'ajolom
141|nim_aq
142|nima_sis
143|ajk'uwal
144|ajyamanik
145|ajch'ut
146|ajtz'alam
147|ajraxa_laq
148|ajraxa_tzel
149|ajq'ol
150|ajtoltekat
151|rati't_q'ij
152|rati't_saq
153|ixim
154|tz'ite'
155|ixim
156|tz'ite'
157|xmukane
158|xpiyakok
159|xpiyakok
160|tz'ite'
161|xpiyakok
162|xmukane
163|xmukane
164|xmukane
165|ixmukane
166|tz'aqol
167|b'itol
168|k'ool
169|ixim
170|tz'ite'
171|ixim
172|tz'ite'
173|uk'u'x_kaj
174|tepew_q'ukumatz
175|uk'u'x_kaj
176|tz'aqol
177|b'itol
178|uk'u'x_kaj
179|tz'ite'
180|tz'aqol
181|b'itol
182|tz'aqol
183|b'itol
184|q'ol
185|k'otk'owach
186|kamalotz'
187|kotzb'alam
188|tukumb'alam
189|alom
190|k'ajolom
191|uk'u'x_kaj
192|jun_raqan
193|ka'
194|ka'
195|k'oy
196|tz'aqol
197|b'itol
198|k'oy
199|wuqub'_kaqix
200|wuqub'_kaqix
201|wuqub'_kaqix
202|wuqub'_kaqix
203|wuqub'_kaqix
204|tz'aqol
205|b'itol
206|wuqub'_kaqix
207|ka'ib'_k'ajolab'
208|junajpu
209|xbalanke
210|uk'u'x_kaj
211|ka'ib'_k'ajolab'
212|ka'ib'_k'ajolab'
213|wub
214|wuqub'_kaqix
215|sipakna
216|kab'raqan
217|chimalmat
218|chimalmat
219|chimalmat
220|wuqub'_kaqix
221|sipakna
222|chaaj
223|chi_q'aq'
224|junajpu_juyub'
225|pek_ul_ya'
226|ya'xkanul
227|makamob'
228|julisnab'
229|sipakna
230|kab'raqan
231|wuqub'_kaqix
232|wuqub'_kaqix
233|sipakna
234|kab'raqan
235|wuqub'_kaqix
236|ka'ib'_k'ajolab'
237|ka'ib'_k'ajolab'
238|wub
239|wuqub'_kaqix
240|ka'ib'_k'ajolab'
241|wuqub'_kaqix
242|wuqub'_kaqix
243|junajpu
244|xb'alamq'e
245|wuqub'_kaqix
246|ka'ib'_k'ajolab'
247|ka'ib'_k'ajolab'
248|wuqub'_kaqix
249|junajpu
250|wub
251|chimalmat
252|junajpu
253|junajpu
254|wuqub'_kaqix
255|junajpu
256|wuqub'_kaqix
257|wuqub'_kaqix
258|junajpu
259|wuqub'_kaqix
260|chimalmat
261|wuqub'_kaqix
262|wub
263|junajpu
264|wuqub'_kaqix
265|junajpu
266|junajpu
267|xb'alamq'e
268|saqi_nim_aq_sis
269|saqi_nim_aq_sis
270|saqi_nim_aq_sis
271|saqi_nim_aq_sis
272|saqi_nim_aq_sis
273|saqi_nim_aq_sis
274|ka'ib'_k'ajolab'
275|saqi_nim_aq_sis
276|wuqub'_kaqix
277|wuqub'_kaqix
278|ka'ib'_k'ajolab'
279|wuqub'_kaqix
280|saqi_nim_aq_sis
281|ka'ib'_k'ajolab'
282|wuqub'_kaqix
283|wuqub'_kaqix
284|wuqub'_kaqix
285|saqi_nim_aq_sis
286|saqi_nim_aq_sis
287|wuqub'_kaqix
288|wuqub'_kaqix
289|ka'ib'_k'ajolab'
290|wuqub'_kaqix
291|saqi_nim_aq_sis
292|wuqub'_kaqix
293|saqi_nim_aq_sis
294|wuqub'_kaqix
295|wuqub'_kaqix
296|wub
297|ka'ib'_k'ajolab'
298|wuqub'_kaqix
299|wuqub'_kaqix
300|ixim
301|wuqub'_kaqix
302|ixim
303|ixim
304|wuqub'_kaqix
305|wuqub'_kaqix
306|junajpu
307|xb'alamq'e
308|wuqub'_kaqix
309|junajpu
310|chimalmat
311|wuqub'_kaqix
312|wuqub'_kaqix
313|ixmukane
314|xpiyakok
315|wuqub'_kaqix
316|ka'ib'_k'ajolab'
317|uk'u'x_kaj
318|sipakna
319|wuqub'_kaqix
320|sipakna
321|sipakna
322|motz
323|sipakna
324|motz
325|motz
326|motz
327|ka'ib'_k'ajolab'
328|motz
329|motz
330|sipakna
331|motz
332|sipakna
333|sipakna
334|sipakna
335|motz
336|motz
337|motz
338|sanik
339|sipakna
340|motz
341|sanik
342|sipakna
343|motz
344|sanik
345|sipakna
346|sanik
347|motz
348|motz
349|motz
350|sipakna
351|motz
352|sipakna
353|wuqub'_kaqix
354|motz
355|motz
356|sipakna
357|ka'ib'_k'ajolab'
358|junajpu
359|xb'alamq'e
360|sipakna
361|ka'ib'_k'ajolab'
