ana_id,n_annotated,n_found_exact,coverage_ratio,n_surface_forms
AB'IX,18,40,0.45,6
ACHAQ'_IB'OY,1,1,1.0,1
AJ,8,2022,0.004,2
AJACHE',2,2,1.0,1
AJAL_MES,3,2,1.5,2
AJAL_PUJ,7,6,1.167,4
AJAL_Q'ANA,7,7,1.0,4
AJAL_TOQ'OB,3,2,1.5,2
AJAQ_Q'ALEL_NJDOCE,2,3,0.667,2
AJAW_AJTZIK_WINAQ,2,1,2.0,2
AJAW_AWILIX,2,23,0.087,2
AJAW_JAQAWITZ,2,2,1.0,2
AJAW_K'ICHE',13,12,1.083,2
AJAW_K'OTUJA_NJONCE,1,1,1.0,1
AJAW_KICHE,1,11,0.091,1
AJAW_LOLMET,2,2,1.0,2
AJAW_NIM_CH'OKOJ,3,3,1.0,3
AJAW_Q'ALEL,5,8,0.625,4
AJAW_Q'ALEL_K'AMJA,1,1,1.0,1
AJAW_XIK,3,330,0.009,1
AJB'IS,1,1,1.0,1
AJBA'TENA_JA,1,1,1.0,1
AJBATENAJA,1,2,0.5,1
AJCH'UMILA_JA,1,0,,1
AJCH'UT,1,1,1.0,1
AJK'UWAL,1,1,1.0,1
AJKIB'A_JA,2,3,0.667,2
AJLAB'AL,1,5,0.2,1
AJLATZAB',1,1,1.0,1
AJMAK,1,1,1.0,1
AJMOKEN,1,1,1.0,1
AJMOX_WACH,1,1,1.0,1
AJMUQULIK_K'U'X,1,1,1.0,1
AJPATAN,1,1,1.0,1
AJPOP,22,29,0.759,3
AJPOP_K'AMJA,17,13,1.308,6
AJPOP_SOTZ'IL,1,1,1.0,1
AJPOP_XAJIL,1,0,,1
AJQ'OL,1,1,1.0,1
AJQ'UKUMATZ,2,2,1.0,2
AJRAXA_LAQ,2,1,2.0,2
AJRAXA_TZEL,2,2,1.0,2
AJTOJIL,2,1,2.0,2
AJTOLTEKAT,1,1,1.0,1
AJTUKUR,1,1,1.0,1
AJTZ'ALAM,1,1,1.0,1
AJTZ'IKINA_JA,7,8,0.875,6
AJTZA,1,7,0.143,1
AJTZIK_WINAQ,9,10,0.9,7
AJTZIK_WINAQ_AJAW,1,1,1.0,1
AJYAMANIK,1,1,1.0,1
AJ_KAB'RAQAN,1,1,1.0,1
AKUL_WINAQ,1,1,1.0,1
ALOM,19,85,0.224,5
AMAQ'_TAM,2,0,,2
AMAQ'_UQ'IN_K'AT,1,0,,1
AQ,3,132,0.023,2
AQAJ,2,36,0.056,1
ASTAPULUL,1,1,1.0,1
AWILIX,33,357,0.092,8
B'ALAM,23,154,0.149,3
B'ALAM_ KOLOB',1,1,1.0,1
B'ALAM_AQ'AB',60,134,0.448,8
B'ALAM_JA,6,11,0.545,6
B'ALAM_K'ONACHE'_KQTRES,2,3,0.667,2
B'ALAM_KI'TZE',65,50,1.3,7
B'AQ,3,74,0.041,3
B'ATE,8,12,0.667,3
B'ATZ'A_NJSEIS',1,1,1.0,1
B'ELEJEB'_KEJ_NJCUATRO,2,2,1.0,2
