lang,folio,side,para_num,lb,lb_str,lb_str_plain
quc,1,1,1,1,"<hi rend=""very-large"">ARE V XE OHER</hi>",ARE V XE OHER
quc,1,1,1,2,Ꜩih varal Quiche vbi.,Tzih varal Quiche vbi.
quc,1,1,2,3,"<hi rend=""large"">V</hi>aral xchicaꜩibah vi xchica<pc> –</pc>",Varal xchicatzibah vi xchica–
quc,1,1,2,4,"tiquiba vi oher ꜩih, vticaribal,","tiquiba vi oher tzih, vticaribal,"
quc,1,1,2,5,"vxenabal puch ronohel xban,","vxenabal puch ronohel xban,"
quc,1,1,2,6,"pa <rs ana=""TINAMIT_K'ICHE'"">tinamit quiche</rs>, ramac qui<pc> –</pc>","pa tinamit quiche, ramac qui–"
quc,1,1,2,7,che vinac; arecut xchicacam,che vinac; arecut xchicacam
quc,1,1,2,8,"vi vcutunizaxic, vcalahobiza<pc> –</pc>","vi vcutunizaxic, vcalahobiza–"
quc,1,1,2,9,"xic, vꜩihoxic puch euaxibal","xic, vtzihoxic puch euaxibal"
quc,1,1,2,10,"zaquiribal rumal <rs ana=""TZ'AQOL"">ꜩacol</rs> <rs ana=""B'ITOL"">bitol</rs>",zaquiribal rumal tzacol bitol
quc,1,1,2,11,"<rs ana=""ALOM"">alom</rs>, <rs ana=""K'AJOLOM"">qaholom</rs> quibi <rs ana=""JUNAJPU_WUCH'"">hun ah<pc> –</pc>","alom, qaholom quibi hun ah–"
quc,1,1,2,12,"pu vuch</rs>, <rs ana=""JUNAJPU_UTIW"">hun ahpu vtiu</rs>, <rs ana=""SAQI_NIM_AQ_SIS"">za<pc> –</pc>","pu vuch, hun ahpu vtiu, za–"
quc,1,1,2,13,"quinimac ꜩÿz</rs>, <rs ana=""TEPEW_Q'UKUMATZ"">tepeu, qucumaꜩ</rs>","quinimac tziz, tepeu, qucumatz"
quc,1,1,2,14,"<rs ana=""UK'U'X_CHO"">vqux cho</rs>, <rs ana=""UK'U'X_PALO"">vqux palo</rs>, <rs ana=""AJRAXA_LAQ"">ah ra<pc> –</pc>","vqux cho, vqux palo, ah ra–"
quc,1,1,2,15,"xalaꜫ</rs>, <rs ana=""AJRAXA_TZEL"">ah raxaꜩel</rs> chu qha<pc> –</pc>","xalaq', ah raxatzel chu qha–"
quc,1,1,2,16,"xic, rachbixic, rachꜩihoxic","xic, rachbixic, rachtzihoxic"
quc,1,1,2,17,"rÿ <rs ana=""IXMUKANE"">iyom</rs>, <rs ana=""XPIYAKOK"">mamom</rs> <rs ana=""XPIYAKOK"">xpiyacoc</rs>,","ri iyom, mamom xpiyacoc,"
quc,1,1,2,18,"<rs ana=""IXMUKANE"">xmucane</rs> vbi, <rs ana=""IXMUKANE"">maꜩanel</rs> <rs ana=""XPIYAKOK"">chu<pc> –</pc>","xmucane vbi, matzanel chu–"
quc,1,1,2,19,"quenel</rs> <rs ana=""IXMUKANE"">camul yiom</rs>, <rs ana=""XPIYAKOK"">camul","quenel camul yiom, camul"
quc,1,1,2,20,"mamom</rs> chuqhaxic <rs ana=""TINAMIT_K'ICHE'"">pa quiche</rs>",mamom chuqhaxic pa quiche
quc,1,1,2,21,ꜩih. ta xquiꜩihoh ronohel,tzih. ta xquitzihoh ronohel
quc,1,1,2,22,ruq xquiban chic chizaquil,ruq xquiban chic chizaquil
quc,1,1,2,23,"qolem, zaquil ꜩih vae xchi<pc> –</pc>","qolem, zaquil tzih vae xchi–"
quc,1,1,2,24,caꜩibah chupan chic vqha<pc> –</pc>,catzibah chupan chic vqha–
quc,1,1,2,25,"bal <rs ana=""DIOS"">Dios</rs> pa christianoil chic",bal Dios pa christianoil chic
quc,1,1,2,26,xchiquelezah rumal maha<pc> –</pc>,xchiquelezah rumal maha–
quc,1,1,2,27,"bi chic ilbal re <rs ana=""POPOL_WUJ"">popo vvh</rs>. il<pc> –</pc>",bi chic ilbal re popo vvh. il–
quc,1,1,2,28,"bal zac petenac chaca <rs ana=""PALO"">palo</rs>.",bal zac petenac chaca palo.
quc,1,1,2,29,vꜩihoxic camuhibal ilbal zac<pc> –</pc>,vtzihoxic camuhibal ilbal zac–
quc,1,1,2,30,qazlem chuqhaxic. qo nabe,qazlem chuqhaxic. qo nabe
quc,1,1,2,31,"vuhil, oher ꜩibam puch xa","vuhil, oher tzibam puch xa"
quc,1,1,2,32,"eval vvach ilol re, bizol re,","eval vvach ilol re, bizol re,"
quc,1,1,2,33,"nim vpeoxic, vꜩihoxic puch,","nim vpeoxic, vtzihoxic puch,"
quc,1,1,2,34,ta chiquiz ꜩuk ronohel cah,ta chiquiz tzuk ronohel cah
quc,1,1,2,35,"vleu, vcah ꜩucuxic, vcah","vleu, vcah tzucuxic, vcah"
quc,1,1,2,36,"xucutaxic retaxic, vcah","xucutaxic retaxic, vcah"
quc,1,1,2,37,"cheexic, vmeh camaxic, vyuc<pc> –</pc>","cheexic, vmeh camaxic, vyuc–"
quc,1,1,2,38,"camaxic vpa cah, vpa vleu","camaxic vpa cah, vpa vleu"
quc,1,1,2,39,"cah ꜩuc, cah xu cut chuqha<pc> –</pc>","cah tzuc, cah xu cut chuqha–"
quc,1,1,2,40,"xic rumal ri <rs ana=""TZ'AQOL"">ꜩacol</rs> <rs ana=""B'ITOL"">bitol</rs>",xic rumal ri tzacol bitol
quc,1,1,2,41,"<rs ana=""ALOM"">vchuch</rs>, <rs ana=""K'AJOLOM"">vcahau</rs> qazlem vi<pc> –</pc>","vchuch, vcahau qazlem vi–"
quc,1,1,2,42,"naquirem, abanel, quxla<pc> –</pc>","naquirem, abanel, quxla–"
quc,1,1,2,43,"nel, alay rech, quxlaay","nel, alay rech, quxlaay"
quc,1,1,2,44,"rech zaquil amaquil, za<pc> –</pc>","rech zaquil amaquil, za–"
quc,1,1,2,45,"quil al, zaquil qahol, ah<pc> –</pc>","quil al, zaquil qahol, ah–"
quc,1,1,2,46,"biz, ahnaoh chirech ronohel","biz, ahnaoh chirech ronohel"
