ana_id|quc|spa|label|dh
AB'IX|18|17|Ab'Ix|2.321928094887362
ACHAQ'_IB'OY|1|1|Achaq' Ib'Oy|1.0
AJ|8|10|Aj|2.8073549220576037
AJACHE'|2|2|Ajache'|1.5849625007211559
AJAL_MES|3|3|Ajal Mes|1.5849625007211559
AJAL_PUJ|7|7|Ajal Puj|3.0
AJAL_Q'ANA|7|7|Ajal Q'Ana|3.0
AJAL_TOQ'OB|3|3|Ajal Toq'Ob|1.5849625007211559
AJAQ_Q'ALEL_NJDOCE|2|0|Ajaq Q'Alel Njdoce|0.0
AJAW_AJPOP|0|1|Ajaw Ajpop|
AJAW_AJPOP_K'AMJA|0|1|Ajaw Ajpop K'Amja|
AJAW_AJTZIK_WINAQ|2|2|Ajaw Ajtzik Winaq|1.0
AJAW_AWILIX|2|2|Ajaw Awilix|1.0
AJAW_JAQAWITZ|2|2|Ajaw Jaqawitz|1.0
AJAW_K'ICHE'|13|15|Ajaw K'Iche'|3.4594316186372978
AJAW_K'OTUJA_NJONCE|1|1|Ajaw K'Otuja Njonce|0.0
AJAW_KICHE|1|0|Ajaw Kiche|1.0
AJAW_LOLMET|2|2|Ajaw Lolmet|1.0
AJAW_NIM_CH'OKOJ|3|2|Ajaw Nim Ch'Okoj|1.0
AJAW_Q'ALEL|5|4|Ajaw Q'Alel|2.584962500721156
AJAW_Q'ALEL_K'AMJA|1|1|Ajaw Q'Alel K'Amja|0.0
AJAW_XIK|3|0|Ajaw Xik|1.5849625007211559
AJB'ATENA_JA|0|1|Ajb'Atena Ja|
AJB'IS|1|1|Ajb'Is|1.0
AJBA'TENA_JA|1|0|Ajba'Tena Ja|1.5849625007211559
AJBATENAJA|1|1|Ajbatenaja|1.5849625007211559
AJCH'UMILA_JA|1|1|Ajch'Umila Ja|1.5849625007211559
AJCH'UT|1|1|Ajch'Ut|1.0
AJK'UWAL|1|1|Ajk'Uwal|1.0
AJKIB'A_JA|2|2|Ajkib'A Ja|2.584962500721156
AJLAB'AL|1|1|Ajlab'Al|1.0
AJLATZAB'|1|1|Ajlatzab'|1.0
AJMAK|1|1|Ajmak|1.0
AJMOKEN|1|1|Ajmoken|1.0
AJMOX_WACH|1|1|Ajmox Wach|1.0
AJMUQULIK_K'U'X|1|1|Ajmuqulik K'U'X|1.0
AJPATAN|1|1|Ajpatan|1.0
AJPOP|22|6|Ajpop|3.0
AJPOP_K'AMJA|17|6|Ajpop K'Amja|3.0
AJPOP_SOTZ'IL|1|1|Ajpop Sotz'Il|1.5849625007211559
AJPOP_XAJIL|1|1|Ajpop Xajil|1.5849625007211559
AJQ'OL|1|0|Ajq'Ol|1.0
AJQ'UKUMATZ|2|1|Ajq'Ukumatz|1.5849625007211559
AJRAXA_LAQ|2|1|Ajraxa Laq|1.5849625007211559
AJRAXA_TZEL|2|1|Ajraxa Tzel|1.5849625007211559
AJTOJIL|2|1|Ajtojil|1.5849625007211559
AJTOLTEKAT|1|1|Ajtoltekat|1.0
AJTUKUR|1|1|Ajtukur|1.0
AJTZ'ALAM|1|1|Ajtz'Alam|1.0
AJTZ'IKINA_JA|7|7|Ajtz'Ikina Ja|3.584962500721156
AJTZA|1|1|Ajtza|1.0
AJTZIK_WINAQ|9|6|Ajtzik Winaq|2.321928094887362
AJTZIK_WINAQ_AJAW|1|1|Ajtzik Winaq Ajaw|0.0
AJYAMANIK|1|1|Ajyamanik|1.0
AJ_KAB'RAQAN|1|1|Aj Kab'Raqan|1.0
AJ_MAQ'A|0|1|Aj Maq'A|
