folio|side|para_num|lb|ana_num|ana_id
1|1|2|6|1|TINAMIT_K'ICHE'
1|1|2|10|1|TZ'AQOL
1|1|2|10|2|B'ITOL
1|1|2|11|1|ALOM
1|1|2|11|2|K'AJOLOM
1|1|2|11|3|JUNAJPU_WUCH'
1|1|2|12|1|JUNAJPU_UTIW
1|1|2|12|2|SAQI_NIM_AQ_SIS
1|1|2|13|1|TEPEW_Q'UKUMATZ
1|1|2|14|1|UK'U'X_CHO
1|1|2|14|2|UK'U'X_PALO
1|1|2|14|3|AJRAXA_LAQ
1|1|2|15|1|AJRAXA_TZEL
1|1|2|17|1|IXMUKANE
1|1|2|17|2|XPIYAKOK
1|1|2|17|3|XPIYAKOK
1|1|2|18|1|IXMUKANE
1|1|2|18|2|IXMUKANE
1|1|2|18|3|XPIYAKOK
1|1|2|19|1|IXMUKANE
1|1|2|19|2|XPIYAKOK
1|1|2|20|1|TINAMIT_K'ICHE'
1|1|2|25|1|DIOS
1|1|2|27|1|POPOL_WUJ
1|1|2|28|1|PALO
1|1|2|40|1|TZ'AQOL
1|1|2|40|2|B'ITOL
1|1|2|41|1|ALOM
1|1|2|41|2|K'AJOLOM
1|2|2|1|1|PALO
1|2|4|9|1|TZ'IKIN
1|2|4|9|2|KAR
1|2|4|9|3|TAP
1|2|4|13|1|PALO
1|2|4|19|1|PALO
1|2|4|23|1|TZ'AQOL
1|2|4|23|2|B'ITOL
1|2|4|23|3|TEPEW_Q'UKUMATZ
1|2|4|24|1|ALOM
1|2|4|24|2|K'AJOLOM
1|2|4|27|1|Q'UKUMATZ
1|2|4|31|1|UK'U'X_KAJ
1|2|5|34|1|TEPEW_Q'UKUMATZ
1|2|5|36|1|TEPEW_Q'UKUMATZ
1|2|5|46|1|UK'U'X_KAJ
1|2|5|46|2|JUN_RAQAN
2|1|5|1|1|KAQUILJA_JUN_RAQAN
2|1|5|2|1|CH'IPI_KAQULJA
2|1|5|3|1|RAXA_KAQULJA
2|1|5|4|1|UK'U'X_KAJ
2|1|5|5|1|TEPEW_Q'UKUMATZ
2|1|5|8|1|K'OOL
2|1|5|29|1|Q'UKUMATZ
2|1|5|30|1|UK'U'X_KAJ
2|1|5|31|1|JUN_RAQAN
2|1|5|31|2|CH'IPI_KAQULJA
2|1|5|32|1|RAXA_KAQULJA
2|1|5|41|1|UK'U'X_KAJ
2|1|5|42|1|UK'U'X_ULEW
2|2|6|5|1|KEJ
2|2|6|5|2|TZ'IKIN
2|2|6|5|3|KOJ
2|2|6|5|4|B'ALAM
2|2|6|5|5|KUMATZ
2|2|6|6|1|SOCHOJ
2|2|6|6|2|K'ANTI'
2|2|6|7|1|ALOM
2|2|6|7|2|K'AJOLOM
2|2|6|12|1|KEJ
2|2|6|12|2|TZ'IKIN
2|2|6|13|1|KEJ
2|2|6|14|1|TZ'IKIN
2|2|6|14|2|KEJ
2|2|6|20|1|TZ'IKIN
2|2|6|21|1|TZ'IKIN
2|2|6|21|2|TZ'IKIN
2|2|6|26|1|KEJ
2|2|6|26|2|TZ'IKIN
2|2|6|30|1|ALOM
2|2|6|30|2|K'AJOLOM
2|2|6|32|1|KEJ
2|2|6|32|2|TZ'IKIN
2|2|7|33|1|KEJ
2|2|7|34|1|TZ'IKIN
2|2|7|34|2|TZ'AQOL
2|2|7|34|3|B'ITOL
2|2|7|34|4|ALOM
2|2|7|35|1|K'AJOLOM
2|2|7|40|1|KEJ
2|2|7|40|2|TZ'IKIN
2|2|7|40|3|KOJ
2|2|7|40|4|B'ALAM
2|2|7|41|1|KUMATZ
2|2|7|42|1|ALOM
2|2|7|43|1|K'AJOLOM
2|2|7|43|2|JUN_RAQAN
2|2|7|44|1|CH'IPI_KAQULJA
