folio|side|para_num|lb|lb_str|lb_str_plain
1|1|1|1|"<hi rend=""very-large"">ESTE ES EL PRINCIPIO DE LAS</hi><note place=""margin-right"" type=""pagination"" anchored=""true""><num rend=""large"">1</num></note>"|ESTE ES EL PRINCIPIO DE LAS1
1|1|1|2|"antiguas historias <rs ana=""TINAMIT_K'ICHE'"">aqui en el quiche</rs>."|antiguas historias aqui en el quiche.
1|1|2|3|"<hi rend=""large"">A</hi>quí escribiremos y empezaremos las"|Aquí escribiremos y empezaremos las
1|1|2|4|antiguas historias, su principio, y comien<pc> –</pc>|antiguas historias, su principio, y comien–
1|1|2|5|"zo de todo lo <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice> fue hecho en <rs ana=""TINAMIT_K'ICHE'"">el pueblo de"|zo de todo lo q’que fue hecho en el pueblo de
1|1|2|6|"el quiche</rs>, su pueblo de <rs ana=""TINAMIT_K'ICHE'"">los indios quichees</rs>;"|el quiche, su pueblo de los indios quichees;
1|1|2|7|y de aqui tomaremos su ser declarado, y|y de aqui tomaremos su ser declarado, y
1|1|2|8|manifestado, y su ser relatado, la esconde|manifestado, y su ser relatado, la esconde
1|1|2|9|"dura, y aclaradura, por el <rs ana=""TZ'AQOL"">formador</rs>, y <rs ana=""B'ITOL"">cri<pc> –</pc>"|dura, y aclaradura, por el formador, y cri–
1|1|2|10|"ador</rs> <rs ana=""ALOM"">madre</rs>, y <rs ana=""K'AJOLOM"">Padre</rs> <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice> así se llaman, <rs ana=""JUNAJPU_WUCH'"">hun"|ador madre, y Padre q’que así se llaman, hun
1|1|2|11|"ahpu vuch</rs>. <rs ana=""JUNAJPU_UTIW"">hun ahpu vtiu</rs>. <rs ana=""SAQI_NIM_AQ_SIS"">Zaquinima ꜩÿz</rs>"|ahpu vuch. hun ahpu vtiu. Zaquinima tziz
1|1|2|12|"<rs ana=""TEPEW_Q'UKUMATZ"">tepeu. gucumaꜩ.</rs> <rs ana=""UK'U'X_CHO"">vguxcho</rs>. <rs ana=""UK'U'X_PALO"">vguxpalo</rs>. (nom<pc> –</pc>"|tepeu. gucumatz. vguxcho. vguxpalo. (nom–
1|1|2|13|"bres, o atributos. <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice> significan; <rs ana=""JUNAJPU_WUCH'"">vn tirador tacu<pc> –</pc>"|bres, o atributos. q’que significan; vn tirador tacu–
