folio|side|para|lb|lb_n|ana_num|ana_id
1|1|1|2|2|1|TINAMIT_K'ICHE'
1|1|2|5|5|1|TINAMIT_K'ICHE'
1|1|2|6|6|1|TINAMIT_K'ICHE'
1|1|2|9|9|1|TZ'AQOL
1|1|2|9|9|2|B'ITOL
1|1|2|10|10|1|ALOM
1|1|2|10|10|2|K'AJOLOM
1|1|2|10|10|3|JUNAJPU_WUCH'
1|1|2|11|11|1|JUNAJPU_UTIW
1|1|2|11|11|2|SAQI_NIM_AQ_SIS
1|1|2|12|12|1|TEPEW_Q'UKUMATZ
1|1|2|12|12|2|UK'U'X_CHO
1|1|2|12|12|3|UK'U'X_PALO
1|1|2|13|13|1|JUNAJPU_WUCH'
1|1|2|14|14|1|JUNAJPU_UTIW
1|1|2|14|14|2|SAQI_NIM_AQ_SIS
1|1|2|14|14|3|TEPEW_Q'UKUMATZ
1|1|2|15|15|1|UK'U'X_CHO
1|1|2|15|15|2|UK'U'X_PALO
1|1|2|16|16|1|AJRAXA_LAQ
1|1|2|16|16|2|AJRAXA_TZEL
1|1|2|18|18|1|IXMUKANE
1|1|2|19|19|1|XPIYAKOK
1|1|2|19|19|2|XPIYAKOK
1|1|2|20|20|1|IXMUKANE
1|1|2|20|20|2|IXMUKANE
1|1|2|21|21|1|XPIYAKOK
1|1|2|21|21|2|IXMUKANE
1|1|2|21|21|3|XPIYAKOK
1|1|2|22|22|1|AJAW_K'ICHE'
1|1|2|26|26|1|DIOS
1|1|2|27|27|1|POPOL_WUJ
1|1|2|29|29|1|PALO
1|1|2|32|32|1|POPOL_WUJ
1|1|2|43|43|1|TZ'AQOL
1|1|2|43|43|2|B'ITOL
1|1|2|43|43|3|ALOM
1|1|2|43|43|4|K'AJOLOM
1|2|2|2|2|1|PALO
1|2|4|7|7|1|TZ'IKIN
1|2|4|7|7|2|KAR
1|2|4|8|8|1|TAP
1|2|4|11|11|1|PALO
1|2|4|17|17|1|PALO
1|2|4|20|20|1|TZ'AQOL
1|2|4|21|21|1|B'ITOL
1|2|4|21|21|2|TEPEW_Q'UKUMATZ
1|2|4|21|21|3|ALOM
1|2|4|22|22|1|K'AJOLOM
1|2|4|24|24|1|Q'UKUMATZ
1|2|4|26|26|1|UK'U'X_KAJ
1|2|5|30|30|1|TEPEW_Q'UKUMATZ
1|2|5|31|31|1|TEPEW_Q'UKUMATZ
1|2|5|39|39|1|UK'U'X_KAJ
1|2|5|40|40|1|JUN_RAQAN
1|2|5|42|42|1|KAQUILJA_JUN_RAQAN
1|2|5|44|44|1|CH'IPI_KAQULJA
2|1|5|1|1|1|RAXA_KAQULJA
2|1|5|2|2|1|UK'U'X_KAJ
2|1|5|3|3|1|TEPEW_Q'UKUMATZ
2|1|5|5|5|1|K'OOL
2|1|5|18|18|1|TAP
2|1|5|22|22|1|Q'UKUMATZ
2|1|5|23|23|1|UK'U'X_KAJ
2|1|5|23|23|2|JUN_RAQAN
2|1|5|24|24|1|CH'IPI_KAQULJA
2|1|5|24|24|2|RAXA_KAQULJA
2|1|5|33|33|1|UK'U'X_KAJ
2|1|5|33|33|2|UK'U'X_ULEW
2|2|6|3|3|1|KEJ
2|2|6|3|3|2|TZ'IKIN
2|2|6|3|3|3|KOJ
2|2|6|4|4|1|B'ALAM
2|2|6|4|4|2|KUMATZ
2|2|6|4|4|3|SOCHOJ
2|2|6|4|4|4|K'ANTI'
2|2|6|5|5|1|ALOM
2|2|6|5|5|2|K'AJOLOM
2|2|6|10|10|1|KEJ
2|2|6|10|10|2|TZ'IKIN
2|2|6|12|12|1|KEJ
2|2|6|12|12|2|TZ'IKIN
2|2|6|12|12|3|KEJ
2|2|6|18|18|1|TZ'IKIN
2|2|6|19|19|1|TZ'IKIN
2|2|6|22|22|1|KEJ
2|2|6|23|23|1|TZ'IKIN
2|2|6|26|26|1|ALOM
2|2|6|26|26|2|K'AJOLOM
2|2|6|27|27|1|KEJ
2|2|6|27|27|2|TZ'IKIN
2|2|7|28|28|1|TZ'AQOL
2|2|7|29|29|1|B'ITOL
2|2|7|29|29|2|KEJ
2|2|7|29|29|3|TZ'IKIN
2|2|7|32|32|1|KEJ
2|2|7|33|33|1|TZ'IKIN
2|2|7|33|33|2|KOJ
2|2|7|33|33|3|B'ALAM
2|2|7|33|33|4|KUMATZ
2|2|7|35|35|1|ALOM
2|2|7|35|35|2|K'AJOLOM
2|2|7|36|36|1|JUN_RAQAN
2|2|7|36|36|2|CH'IPI_KAQULJA
2|2|7|36|36|3|RAXA_KAQULJA
2|2|7|37|37|1|UK'U'X_KAJ
2|2|7|37|37|2|UK'U'X_ULEW
2|2|7|37|37|3|TZ'AQOL
2|2|7|37|37|4|B'ITOL
2|2|7|38|38|1|ALOM
2|2|7|38|38|2|K'AJOLOM
3|1|7|6|6|1|TZ'AQOL
3|1|7|9|9|1|TZ'AQOL
3|1|7|9|9|2|B'ITOL
3|1|7|10|10|1|TZ'AQOL
3|1|7|33|33|1|TZ'AQOL
3|2|7|12|12|1|PALO
3|2|7|13|13|1|TZ'AQOL
3|2|7|13|13|2|B'ITOL
3|2|7|21|21|1|XPIYAKOK
3|2|7|22|22|1|IXMUKANE
3|2|7|22|22|2|JUNAJPU_WUCH'
3|2|7|23|23|1|JUNAJPU_UTIW
3|2|7|25|25|1|TZ'AQOL
3|2|7|25|25|2|B'ITOL
3|2|7|26|26|1|XPIYAKOK
3|2|7|27|27|1|IXMUKANE
3|2|7|28|28|1|RATI'T_Q'IJ
