term|gloss
ACHAQ' IBOY|Debe ser *Uchaq' Iboy*, "hermano menor armadillo"; pero en el manuscrito de Ximénez está como *Achac Iboy*. Él era uno de los Señores Ajaw K'iche'.  
AJAL MES|Señor de Xibalba, causante de desgracias, provocador de enemistad.  
AJAL PUJ|Señor de Xibalba, quien junto con Ajal Q'ana, hinchaba a las personas, les hacía brotar pus en las piernas y les ponía amarillenta la cara.  
AJAL Q'ANA|Señor de Xibalba, quien junto con Ajal Puj, hinchaba a las personas, les hacía brotar pus en las piernas y les ponía amarillenta la cara.  
AJAL TOQ'OB|Señor de Xibalba, que hería a la gente y junto a Ajal Mes provocaba la muerte.  
AJAW AJTZIK WINAQ|Señor Principal Pregonero, o vocero. Uno de las nueve autoridades ante los Nija'ib.  
AJAW JAQAWITZ|Encargado del culto a Jaqawitz entre los Ajaw K'iche'.  
AJAW K'ICHE'|Nombre de uno de los tres primeros pueblos k'iche' descendientes de Majuk'utaj.  
AJAW LOLMET|Recolector de impuestos, autoridad al frente de los Ajaw K'iche'. Entre los Kaweq se le identifica como Lolmet Kejnay.  
AJAW NIM CH'OKOJ AJAW|Gran maestro de ceremonias. *Ch'okoj* quiere decir: “maestro de la palabra”. Era una de las autoridades frente a los Ajaw K'iche'.  
AJAW Q'ALEL|Señor con poder que otros traducen como “señor ministro”. Autoridad Nija'ib.  
AJBATENAJA|Nombre de una de las 13 ramas de pueblos y casas reales. Significa: "los de la casa de los cinturones", utilizados en el juego de la pelota.  
AJCH'UMILAJA|Nombre de una de las 13 ramas de pueblos y casas reales. Significa: "los de la casa de las estrellas".  
AJKIBAJA|Nombre de una de las 13 ramas de pueblos y casas reales. Significa "los de la casa Kiba'".  
AJPOP|Señor de la estera.  
AJPOP K'AMJA|Receptor de la Estera o Señor de la casa de recepción, equivalente a canciller.  
AJPOPOL|Señor principal del Consejo y que otros traducen como "jefe" o "rey".  
AJQ'UKUMATZ|Encargado del culto a Q'ukumatz, la Serpiente Emplumada, frente a los Kaweq.  
AJTOJIL|Encargado del culto a Tojil, frente a los Kaweq.  
AJTZ'IKINAJA|Nombre de una de las 13 ramas de pueblos y casas reales. Significa: "los de la casa de los pájaros", que ahora son los habitantes de Santiago Atitlán.  
AJTZIK WINAQ|Señor encargado de los avisos, pregonero o vocero.  
